Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000004015296_T1,ZINC000004015296,-10.9,0.287,493.477,5.3592,7,0,87.12,1,38,high,high,none,ZINC,O=c1nc2c3cccc4cccc(c(=O)n2c2cc(N5C(=O)c6cccc7cccc(c76)C5=O)ccc12)c43
ZINC000003954537_T1,ZINC000003954537,-10.4,0.281,481.466,5.5419,7,1,106.09,2,37,low,none,none,ZINC,O=C(Nc1cccc2c1C(=O)c1ccccc1C2=O)c1ccc2c3c1ncnc3-c1ccccc1C2=O
ZINC000097945321_T2,ZINC000097945321,-10.2,0.255,522.559,4.6865,6,0,76.57,4,40,none,none,none,ZINC,O=C(Oc1cccc2cccnc21)c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
ZINC000097945320_T1,ZINC000097945320,-10.2,0.255,522.559,4.6865,6,0,76.57,4,40,none,none,none,ZINC,O=C(Oc1cccc2cccnc21)c1cccc(N2C(=O)[C@H]3[C@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
Z1370892539_1_T1,Z1370892539,-10.1,0.374,426.323,3.1063,6,2,86.89,1,27,none,none,none,REAL,C[C@@H]1c2c(Cl)cc(Cl)cc2CCN1C(=O)[C@@H]1Nc2ccccc2S(=O)(=O)N1
ZINC000100504092_T1,ZINC000100504092,-10.1,0.326,404.512,5.0853,3,0,23.55,2,31,high,high,none,ZINC,O=c1cccc2n1C[C@H]1C[C@H]2CN(Cc2ccc3ccc4cccc5ccc2c3c45)C1
Z1684582607_1_T5,Z1684582607,-10.1,0.316,448.506,3.1392,9,2,143.18,5,32,none,none,none,REAL,Cc1ccc(C)n1-c1nc(Cc2nc(-c3cccc([C@]4(C)NC(=O)NC4=O)c3)no2)cs1
ZINC000018101483_T1,ZINC000018101483,-10.1,0.316,416.439,2.852,6,2,82.92,2,32,high,high,none,ZINC,O=C1Nc2ccccc2/C1=N\c1cccc2c(/N=C3/c4ccccc4NC3=O)cccc12
ZINC000097945322_T1,ZINC000097945322,-10.1,0.252,522.559,4.6865,6,0,76.57,4,40,none,none,none,ZINC,O=C(Oc1cccc2cccnc21)c1cccc(N2C(=O)[C@@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
Z1452979797_1_T2,Z1452979797,-10,0.345,406.828,2.9263,7,4,102.82,3,29,low,none,none,REAL,O=C(NNc1nc2ccccc2c(=O)[nH]1)c1cc(-c2ccccc2)cc(Cl)c1O
