Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z2371500224_1_T1,Z2371500224,-11.3,0.39,390.481,3.8909,5,1,58.64,1,29,none,none,none,REAL,O=C1CCCCc2ccc(NC(=O)N3CCC[C@]4(C3)OCc3ccccc34)cc21
Z1171598144_1_T4,Z1171598144,-11.2,0.35,426.435,2.316,9,2,120.94,4,32,none,none,none,REAL,Cc1nnc2[nH]nc(NC(=O)c3ccc4c(c3)C(=O)N(Cc3ccccc3)C4=O)c2c1C
ZINC000107765190_T2,ZINC000107765190,-11.2,0.303,480.585,2.5233,3,0,38.02,6,37,low,high,none,ZINC,O=C(/C=C\c1cc[n+](CC(=O)c2ccc3cccc4c3c2CC4)cc1)c1ccc2cccc3c2c1CC3
Z2371500224_1_T2,Z2371500224,-11.1,0.383,390.481,3.8909,5,1,58.64,1,29,none,none,none,REAL,O=C1CCCCc2ccc(NC(=O)N3CCC[C@]4(C3)OCc3ccccc34)cc21
Z2371498431_2_T1,Z2371498431,-11.1,0.383,390.481,4.2744,5,1,58.64,1,29,none,none,none,REAL,O=C1CCCCc2ccc(NC(=O)N3CCO[C@@]4(CCc5ccccc54)C3)cc21
Z2111575407_1_T2,Z2111575407,-11.1,0.37,406.48,3.5826,6,1,67.87,1,30,none,none,none,REAL,CC1(C)CC(=O)c2cc(NC(=O)N3CCC[C@]4(C3)OCc3ccccc34)ccc2O1
ZINC000002267002_T2,ZINC000002267002,-11.1,0.358,406.396,4.5103,6,1,85.45,2,31,high,high,none,ZINC,O=c1oc2ccc3ccccc3c2cc1-c1nnc(-c2cc3ccccc3cc2O)o1
Z2902669716_1_T2,Z2902669716,-11.1,0.347,424.394,5.1558,8,1,102.75,3,32,none,none,none,REAL,Oc1nc2ccc(F)cc2cc1-c1nc(-c2ccc(-n3cnc4ccccc43)nc2)no1
Z1128651011_1,Z1128651011,-11.1,0.347,426.514,3.7402,5,1,58.64,4,32,none,none,none,REAL,CC(=O)N1Cc2ccccc2C[C@@H]1C(=O)NCc1ccc(-c2ccc3c(c2)CCO3)cc1
Z1170162723_1_T4,Z1170162723,-11.1,0.326,446.429,2.1229,10,1,114.33,3,34,none,none,none,REAL,O=c1nc2c(-c3nc(-c4ccc(-n5cnc6ccccc65)nc4)no3)c[nH]n2c2ccccc12
Z1101835374_2_T1,Z1101835374,-11.1,0.308,475.503,4.2634,7,1,86.79,4,36,high,high,none,REAL,O=C(Nc1ccc(N2C(=O)c3ccccc3C2=O)cc1)[C@H]1CC(=O)N(c2cccc3ccccc23)C1
ZINC000022504887_T1,ZINC000022504887,-11,0.355,415.448,4.7887,7,2,79.9,3,31,none,none,none,ZINC,O=C(Nc1ccc2c(c1)OCO2)Nc1ccc2c(c1)CCCN2C(=O)c1ccccc1
Z2176007556_1,Z2176007556,-11,0.344,446.482,4.2868,7,2,117.79,2,32,none,none,none,REAL,O=C(NS(=O)(=O)c1ccc2c(c1)C(=O)CCC2)c1ccc2[nH]c3ccccc3c(=O)c2c1
Z1683114726_1_T1,Z1683114726,-11,0.344,436.373,3.3229,8,3,131.34,5,32,none,none,none,REAL,NC(=O)c1ccc(-c2noc(-c3ccc(NC(=O)c4cc(F)cc(F)c4)cc3O)n2)cc1
PV-001940740368_25_T1,PV-001940740368,-11,0.344,456.609,3.5056,7,3,108.57,7,32,none,none,none,REAL,C[C@H](CNC(=O)Nc1ccc(S(=O)(=O)N[C@H](C)[C@@H]2C[C@H]3CC[C@H]2C3)cc1)c1ccncc1
Z1891230343_1_T1,Z1891230343,-11,0.333,448.388,3.0212,9,2,118.44,4,33,none,none,none,REAL,Cc1nnc2ccc(-c3noc(-c4ccc(NC(=O)c5cc(F)cc(F)c5)cc4O)n3)cn12
Z1766495345_2_T3,Z1766495345,-11,0.333,435.486,4.3698,7,2,90.98,3,33,none,none,low,REAL,O=C(c1ccc2[nH]c3ccccc3c(=O)c2c1)N1CCC[C@H]1c1nc(-c2ccccc2)n[nH]1
Z1170162723_1_T2,Z1170162723,-11,0.324,446.429,2.1229,10,1,114.33,3,34,none,none,none,REAL,O=c1nc2c(-c3nc(-c4ccc(-n5cnc6ccccc65)nc4)no3)c[nH]n2c2ccccc12
Z2902673513_2_T1,Z2902673513,-11,0.314,464.528,5.9064,8,0,89.94,4,35,none,none,none,REAL,Cc1ccc(C(=O)N2CCC[C@@H](c3nc(-c4ccc(-n5cnc6ccccc65)nc4)no3)C2)cc1
Z2902672984_2_T1,Z2902672984,-11,0.314,468.491,5.6633,8,0,89.94,4,35,none,none,none,REAL,O=C(c1ccc(F)cc1)N1CCC[C@@H](c2nc(-c3ccc(-n4cnc5ccccc54)nc3)no2)C1
ZINC000408674328_T3,ZINC000408674328,-11,0.297,494.545,4.17,7,0,83.99,5,37,high,high,high,ZINC,CC1=CC[C@@H]2C(=O)N(c3cccc(OC(=O)[C@@H]4CC(=O)N(c5cccc6ccccc65)C4)c3)C(=O)[C@H]2C1
ZINC000004015296_T1,ZINC000004015296,-11,0.289,493.477,5.3592,7,0,87.12,1,38,high,high,none,ZINC,O=c1nc2c3cccc4cccc(c(=O)n2c2cc(N5C(=O)c6cccc7cccc(c76)C5=O)ccc12)c43
ZINC000247889806_T4,ZINC000247889806,-11,0.289,498.58,5.0574,5,0,57.69,3,38,high,high,none,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H]4C=Cc5c6ccccc6ccc5N4[C@@H](C(=O)c4ccccc4)[C@H]3C2=O)c(C)c1
ZINC000247889819_T4,ZINC000247889819,-11,0.289,498.58,5.0574,5,0,57.69,3,38,high,high,none,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H]4C=Cc5c6ccccc6ccc5N4[C@H](C(=O)c4ccccc4)[C@H]3C2=O)c(C)c1
Z2371498431_2_T2,Z2371498431,-10.9,0.376,390.481,4.2744,5,1,58.64,1,29,none,none,none,REAL,O=C1CCCCc2ccc(NC(=O)N3CCO[C@@]4(CCc5ccccc54)C3)cc21
Z1831525989_1_T2,Z1831525989,-10.9,0.376,388.418,4.3607,5,0,69.67,3,29,none,none,high,REAL,O=C1C[C@H](C(=O)Oc2ccc3c4c(c(=O)oc3c2)CCCCC4)c2ccccc21
Z1549987944_2_T1,Z1549987944,-10.9,0.363,423.452,2.3059,9,1,134.36,2,30,low,low,low,REAL,O=C1c2ccccc2S(=O)(=O)c2cc(C(=O)N3CCC[C@@H](c4nnn[nH]4)C3)ccc21
Z1890947874_1_T1,Z1890947874,-10.9,0.352,423.374,4.2338,7,3,108.48,4,31,none,high,none,REAL,Cc1cc(-c2noc(-c3ccc(NC(=O)c4cc(F)cc(F)c4)cc3O)n2)ccc1O
Z1890698064_1_T1,Z1890698064,-10.9,0.352,434.475,1.2974,8,1,113.78,3,31,none,none,none,REAL,O=c1ccc(-c2noc(-c3cccc(S(=O)(=O)N4CCc5ccccc5C4)c3)n2)c[nH]1
Z1472863826_6_T1,Z1472863826,-10.9,0.352,429.495,4.2823,5,1,88.69,2,31,low,low,high,REAL,O=C(N[C@H]1[C@@H]2CCc3ccccc3[C@H]21)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O
ZINC000100504092_T1,ZINC000100504092,-10.9,0.352,404.512,5.0853,3,0,23.55,2,31,high,high,none,ZINC,O=c1cccc2n1C[C@H]1C[C@H]2CN(Cc2ccc3ccc4cccc5ccc2c3c45)C1
Z924351844_1_T1,Z924351844,-10.9,0.341,446.569,4.4731,5,0,66.07,2,32,none,high,none,REAL,CC(=O)N1CCCc2cc(S(=O)(=O)N3CC=C(c4cccc5ccccc45)CC3)ccc21
Z1171598144_1_T2,Z1171598144,-10.9,0.341,426.435,2.316,9,2,120.94,4,32,none,none,none,REAL,Cc1nnc2[nH]nc(NC(=O)c3ccc4c(c3)C(=O)N(Cc3ccccc3)C4=O)c2c1C
ZINC000033821753_T4,ZINC000033821753,-10.9,0.341,442.901,5.1939,5,0,58.97,2,32,low,high,none,ZINC,O=C1[C@H]2[C@@H]3C[C@@H]([C@H]4C(c5ccccc5Cl)=NO[C@H]34)[C@@H]2C(=O)N1c1ccc2ccccc2c1
Z2193901914_2_T1,Z2193901914,-10.9,0.33,434.458,4.1448,8,1,100.8,3,33,high,high,none,REAL,O=C1C[C@@H](c2nc(-c3ccc4[nH]nnc4c3)no2)CN1c1ccc2c(c1)Cc1ccccc1-2
Z2160715108_1_T1,Z2160715108,-10.9,0.33,447.4,3.613,8,2,105.55,4,33,none,none,none,REAL,Cc1ccc2ncc(-c3noc(-c4ccc(NC(=O)c5cc(F)cc(F)c5)cc4O)n3)n2c1
Z1764809309_2_T2,Z1764809309,-10.9,0.33,437.541,5.415,5,1,52.65,2,33,none,none,none,REAL,C[C@H]1Cc2ccccc2N1C1CCN(C(=O)c2ccc3[nH]c4ccccc4c(=O)c3c2)CC1
Z1685180149_1_T1,Z1685180149,-10.9,0.33,447.4,3.6148,8,2,106.07,4,33,none,none,none,REAL,Cn1ncc2ccc(-c3noc(-c4ccc(NC(=O)c5cc(F)cc(F)c5)cc4O)n3)cc21
ZINC000036569539_T3,ZINC000036569539,-10.9,0.33,477.346,5.7999,5,0,58.97,2,33,low,high,none,ZINC,O=C1[C@@H]2[C@H]3C[C@H]([C@H]4ON=C(c5ccc(Cl)cc5Cl)[C@@H]43)[C@@H]2C(=O)N1c1ccc2ccccc2c1
