Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
PV-001839102672_2_T1,PV-001839102672,-10.3,0.396,360.334,2.282,4,1,49.41,1,26,none,none,none,REAL,O=C1Nc2ccc(F)cc2C[C@H]1C(=O)N1Cc2ccccc2C(F)(F)C1
PV-001828770412_2_T1,PV-001828770412,-10.3,0.396,343.425,3.8924,3,1,40.54,2,26,none,none,none,REAL,C[C@@H](C(=O)N1Cc2ccccc2-c2ccccc2C1)c1cccc(O)c1
PV-001817467248_1_T2,PV-001817467248,-10.3,0.396,413.274,3.3873,6,1,79.21,2,26,none,none,none,REAL,O=C(c1cc(O)nc2ccccc12)N1CCCC[C@@H]1c1ncc(Br)cn1
PV-001801321917_3_T1,PV-001801321917,-10.3,0.396,353.436,4.9871,3,0,29.54,1,26,none,none,none,REAL,C[C@@H]1Cc2cc(F)ccc2[C@@H](C)N1C(=O)c1ccc2c(c1)CC(C)(C)O2
PV-001800308191_2_T1,PV-001800308191,-10.3,0.396,413.245,4.3088,4,2,58.2,3,26,low,high,none,REAL,O=C(C[C@H]1C(=O)Nc2c(F)cccc21)Nc1ccc2cc(Br)ccc2c1
PV-001798821109_7_T1,PV-001798821109,-10.3,0.396,362.419,3.0997,4,0,40.62,2,26,none,none,none,REAL,C[C@@H]1C[C@H]2CCCC[C@H]2N1C(=O)[C@@H]1CC(=O)N(c2ccc(F)c(F)c2)C1
PV-000033483749_3_T1,PV-000033483749,-10.3,0.396,347.421,2.7557,6,1,71.01,3,26,none,none,low,REAL,Cc1ccnc(N[C@@H]2CN(C(=O)c3ccnc4ccccc34)C[C@H]2C)n1
PV-000006762392_8_T1,PV-000006762392,-10.3,0.396,349.437,1.976,6,0,62.22,2,26,none,none,none,REAL,Cc1cncc(C(=O)N2C[C@H]3[C@H]4CC[C@@H]([C@@H]3C2)N(c2ncccn2)C4)c1
PV-000003994652_1_T1,PV-000003994652,-10.3,0.396,357.344,1.4793,8,2,96.45,3,26,none,none,none,REAL,C[C@@H]1CN(C(=O)c2cccc3oc(=O)[nH]c23)C[C@H]1Nc1nccnc1F
PV-000003980635_1_T1,PV-000003980635,-10.3,0.396,347.421,2.7557,6,1,71.01,3,26,none,none,low,REAL,Cc1ccnc(N[C@@H]2CN(C(=O)c3ccnc4ccccc34)C[C@H]2C)n1
PV-000003939852_1_T1,PV-000003939852,-10.3,0.396,354.428,3.6327,5,1,58.12,3,26,none,none,none,REAL,C[C@@H]1CN(C(=O)c2cccc3c2CCCC3)C[C@H]1Nc1cc(F)ncn1
PV-000003854606_1_T1,PV-000003854606,-10.3,0.396,353.381,1.8817,8,2,96.45,3,26,none,none,low,REAL,Cc1ccnc(N[C@@H]2CN(C(=O)c3cccc4[nH]c(=O)oc34)C[C@H]2C)n1
ZINC000103734914_T5,ZINC000103734914,-10.3,0.396,341.409,4.6904,3,1,46.17,1,26,none,none,none,ZINC,Cc1cccc([C@@H]2C3=C(NC4=C2C(=O)CCC4)c2ccccc2C3=O)c1
ZINC000003641122_T3,ZINC000003641122,-10.3,0.396,359.423,4.8704,2,1,54.4,1,26,none,none,none,ZINC,O=C1c2ccccc2C2=C1[C@@H](c1ccc(F)cc1)Sc1ccccc1N2
ZINC000003641120_T3,ZINC000003641120,-10.3,0.396,359.423,4.8704,2,1,54.4,1,26,none,none,none,ZINC,O=C1c2ccccc2C2=C1[C@@H](c1cccc(F)c1)Sc1ccccc1N2
