Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1476773581_1_T1,Z1476773581,-10.1,0.337,421.839,2.9468,7,2,302.95,4,30,none,none,none,REAL,NC(=O)c1nc(Cl)ccc1NC(=O)c1ccc2c(c1)C[C@@H](c1ccccc1)OC2=O
Z1555227240_1_T1,Z1555227240,-9.9,0.341,411.848,1.9222,8,2,295.5,3,29,none,none,none,REAL,NC(=O)c1nc(Cl)ccc1NC(=O)c1ccc2c(=O)n3c(nc2c1)CCCCC3
Z1132505833_26_T1,Z1132505833,-9.8,0.35,385.506,4.1919,6,3,291.13,5,28,high,high,none,REAL,CC(C)(C)OC(=O)Nc1ccc(NC(=O)N[C@H]2C[C@@H]3C[C@@H]2[C@H]2CCC[C@H]32)cc1
Z2178142149_2_T1,Z2178142149,-9.8,0.306,425.443,3.7001,7,2,302.53,3,32,high,high,none,REAL,O=C(Nc1cccc2[nH]c(=O)oc12)[C@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1
Z812555872_1_T1,Z812555872,-9.8,0.28,468.559,4.3706,8,4,338.94,5,35,none,none,high,REAL,O=C(CC12C[C@H]3C[C@@H](C1)CC(C(=O)Nc1nc4ccccc4[nH]1)(C3)C2)Nc1nc2ccccc2[nH]1
Z812555872_2_T1,Z812555872,-9.8,0.28,468.559,4.3706,8,4,338.94,5,35,none,none,high,REAL,O=C(CC12C[C@H]3C[C@H](C1)CC(C(=O)Nc1nc4ccccc4[nH]1)(C3)C2)Nc1nc2ccccc2[nH]1
Z1555223912_1_T1,Z1555223912,-9.7,0.323,441.85,2.2016,8,2,295.27,3,30,low,low,low,REAL,NC(=O)c1nc(Cl)ccc1NC(=O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O
Z1915736221_1_T1,Z1915736221,-9.7,0.303,426.435,4.137,9,2,319.2,5,32,none,low,low,REAL,O=C(NNc1ccc(-n2ccnc2)nn1)c1ccc2c(c1)C[C@@H](c1ccccc1)OC2=O
Z24206233_2_T1,Z24206233,-9.7,0.269,482.447,3.4321,9,1,341.06,5,36,high,none,none,REAL,C[C@@H](OC(=O)c1ccc2c(c1)C(=O)N(C)C2=O)C(=O)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O
Z810119250_2_T1,Z810119250,-9.6,0.3,429.45,3.4462,6,2,309.44,4,32,high,high,none,REAL,NC(=O)c1ccc(F)c(NC(=O)[C@H]2CC(=O)N(c3ccc4c(c3)Cc3ccccc3-4)C2)c1
