Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000100504092_T1,ZINC000100504092,-9.6,0.31,404.512,5.0853,3,0,23.55,2,31,high,high,none,ZINC,O=c1cccc2n1C[C@H]1C[C@H]2CN(Cc2ccc3ccc4cccc5ccc2c3c45)C1
ZINC000100572803_T1,ZINC000100572803,-9.2,0.329,368.479,4.0736,3,0,23.55,2,28,high,high,none,ZINC,O=c1cccc2n1C[C@H]1C[C@H]2CN(Cc2ccc3c(c2)Cc2ccccc2-3)C1
ZINC000048523764_T1,ZINC000048523764,-9,0.25,464.475,4.78,4,0,68.28,0,36,none,none,none,ZINC,O=C1c2ccccc2C(=O)C2=C3C=CC4=CC5=C(C(=O)c6ccccc6C5=O)C5=CC=C(C=C12)[C@@H]3[C@@H]45
ZINC000003772018_T1,ZINC000003772018,-9,0.281,414.463,5.1362,4,2,54.12,1,32,high,high,high,ZINC,O=c1oc2ccccc2c2c1[C@@H](c1c[nH]c3ccccc31)Nc1ccc3ccccc3c1-2
ZINC000001564229_T1,ZINC000001564229,-9,0.321,360.459,-2.904,2,0,7.76,0,28,none,none,none,ZINC,c1ccc2c(c1)cc[n+]1c2-c2c3ccccc3cc[n+]2Cc2ccccc2C1
ZINC000247702004_T9,ZINC000247702004,-8.9,0.247,470.527,4.23,5,0,57.69,3,36,high,high,none,ZINC,O=C(c1ccccc1)[C@@H]1[C@@H]2C(=O)N(c3cccc4ccccc43)C(=O)[C@H]2[C@@H]2c3ccccc3C=CN21
ZINC000247702001_T9,ZINC000247702001,-8.9,0.247,470.527,4.23,5,0,57.69,3,36,high,high,none,ZINC,O=C(c1ccccc1)[C@@H]1[C@@H]2C(=O)N(c3cccc4ccccc43)C(=O)[C@@H]2[C@@H]2c3ccccc3C=CN21
Z448669214_1_T1,Z448669214,-8.9,0.247,478.594,3.9392,6,2,64.68,3,36,none,none,none,REAL,O=C(NC[C@@H]1CC2c3ccccc3C1c1ccccc12)N1CCC(n2c(=O)[nH]c3ccccc32)CC1
Z1985082805_1_T2,Z1985082805,-8.9,0.27,437.498,4.6273,6,1,71.53,2,33,none,high,none,REAL,O=C1N[C@H]2CCN(C(=O)c3cc(-c4cccc5ccccc45)nc4ccccc34)C[C@@H]2CO1
Z1245894026_2_T1,Z1245894026,-8.9,0.27,448.493,3.2388,6,1,67.87,1,33,none,none,none,REAL,C[C@H]1c2cc3c(cc2C2(CCCC2)CN1C(=O)c1cc(=O)[nH]c2cc(F)ccc12)OCCO3
ZINC000013774180_T1,ZINC000013774180,-8.8,0.275,415.451,3.9036,5,1,61.77,2,32,high,high,none,ZINC,O=C1Nc2ccccc2/C1=C/c1nc2ccccc2c(=O)n1-c1cccc2ccccc21
ZINC000059835301_T1,ZINC000059835301,-8.8,0.275,415.451,3.9036,5,1,61.77,2,32,high,high,none,ZINC,O=C1Nc2ccccc2/C1=C\c1nc2ccccc2c(=O)n1-c1cccc2ccccc21
ZINC000006724167_T1,ZINC000006724167,-8.8,0.293,416.907,5.3259,4,1,49.41,2,30,none,none,none,ZINC,Cc1ccc(NC(=O)[C@H]2c3ccccc3C(=O)N3CCc4ccccc4[C@H]23)c(Cl)c1
Z1356153550_1_T1,Z1356153550,-8.8,0.314,382.394,2.4759,7,2,91.4,2,28,none,none,none,REAL,C[C@@H]1CCc2c(F)cccc2[C@@H]1NC(=O)c1cnc2c(c1)c(=O)[nH]c(=O)n2C
Z1280905646_2_T1,Z1280905646,-8.8,0.326,361.4,3.9654,6,2,79.79,3,27,none,none,none,REAL,O=C(Nc1ccc(-c2noc(=O)[nH]2)cc1)[C@H]1C[C@]12CCCc1ccccc12
ZINC000003120897_T1,ZINC000003120897,-8.8,0.338,333.433,5.9465,1,0,3.24,1,26,high,high,high,ZINC,CN1c2ccccc2C=C/C1=C\C=C1c2ccccc2-c2ccccc21
