Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000019832272_T4,ZINC000019832272,-10.5,0.292,476.578,5.4245,6,2,76.02,3,36,none,none,high,ZINC,Cc1ccc(NC(=O)C2=C(C)NC3=C(C(=O)CCC3)[C@@H]2c2ccc3c(c2)c2ccccc2n3C)nc1
PV-001864857183_1_T2,PV-001864857183,-10.2,0.329,434.417,1.6229,7,1,82.08,3,31,none,none,none,REAL,O=C([C@@H]1CCCCN1C(=O)c1ccc(=O)[nH]n1)N1CCc2cccc(C(F)(F)F)c2C1
Z1014963906_1_T2,Z1014963906,-10.2,0.34,397.437,2.2133,7,1,79.59,2,30,none,none,none,REAL,Cc1c(C(=O)N2Cc3ccccc3-c3ccccc3C2)cnn1-c1ccc(=O)[nH]n1
ZINC000079190060_T1,ZINC000079190060,-10.1,0.273,499.561,5.4951,7,1,102.79,1,37,high,none,high,ZINC,C[C@H]1CCCC(=O)CCC/C=C/c2cc3c(c(O)c2C(=O)O1)[C@H](c1ccc2ncccc2c1)CC(=O)O3
Z287938074_1_T1,Z287938074,-10.1,0.281,489.578,3.1482,10,0,97.98,2,36,none,none,none,REAL,C[C@@H]1c2cc3c(cc2C2(CCCC2)CN1C(=O)C1CCN(c2ccc4nnnn4n2)CC1)OCCO3
Z2108604502_1_T2,Z2108604502,-10.1,0.326,420.464,3.9757,7,1,77.1,1,31,none,none,none,REAL,C[C@@H]1c2cc3c(cc2C2(CCCC2)CN1C(=O)c1ccc2oc(=O)[nH]c2c1)OCCO3
ZINC000020601960_T4,ZINC000020601960,-10,0.27,490.605,5.6814,6,2,76.02,3,37,none,none,high,ZINC,CC1=C(C(=O)Nc2ccccn2)[C@@H](c2ccc3c(c2)c2ccccc2n3C)C2=C(CC(C)(C)CC2=O)N1
ZINC000009614215_T2,ZINC000009614215,-10,0.27,491.546,4.6888,7,1,78.95,4,37,none,none,none,ZINC,C[C@@]1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2c3ccccc3OC[C@H]2c2ccccc2)C1=O
ZINC000001099260_T1,ZINC000001099260,-10,0.278,474.427,2.6053,8,1,117.69,1,36,none,none,none,ZINC,O=C1NC(=O)c2cc(N3C(=O)c4cc5oc6ccccc6c6ccccc6oc5cc4C3=O)ccc21
ZINC000002935991_T1,ZINC000002935991,-10,0.278,480.425,4.9032,6,0,77.32,3,36,high,high,none,ZINC,O=c1oc(-c2cccc(F)c2)nc2ccc(-c3ccc4nc(-c5cccc(F)c5)oc(=O)c4c3)cc21
ZINC000013770904_T4,ZINC000013770904,-10,0.278,480.479,2.5453,9,1,100.54,3,36,none,none,none,ZINC,O=C(Nc1ccccc1)[C@H]1[C@H]2C(=O)N(c3ccc4c(c3)OCO4)C(=O)[C@H]2[C@@H]2c3ccccc3C=NN12
Z1383816512_1_T1,Z1383816512,-10,0.294,453.461,2.7954,10,1,122.45,3,34,high,none,none,REAL,O=C1c2ccccc2C(=O)c2cc(NC(=O)C3CCN(c4ccc5nnnn5n4)CC3)ccc21
Z1185259574_2_T1,Z1185259574,-10,0.333,402.496,4.0434,6,2,78.09,3,30,none,none,high,REAL,C[C@H]1Cc2ccccc2N1C(=O)[C@@H]1CCCC[C@@H]1C(=O)Nc1nc2ccccc2[nH]1
Z2229022794_1_T3,Z2229022794,-10,0.333,401.421,3.6466,7,2,89.55,4,30,none,none,none,REAL,O=C(N[C@H](c1ccccc1)c1ccc2c(c1)CCCO2)c1ccc2oc(=O)[nH]c2n1
Z1185517110_2_T2,Z1185517110,-10,0.345,396.45,0.478,9,3,120.08,4,29,none,none,none,REAL,C[C@H]1Cc2ccccc2N1C(=O)[C@@H]1CCCC[C@@H]1C(=O)NNC(=O)c1c[nH]nn1
Z1185517110_2_T3,Z1185517110,-10,0.345,396.45,0.478,9,3,120.08,4,29,none,none,none,REAL,C[C@H]1Cc2ccccc2N1C(=O)[C@@H]1CCCC[C@@H]1C(=O)NNC(=O)c1c[nH]nn1
Z295766342_1_T2,Z295766342,-10,0.357,392.34,1.9556,8,2,103.34,3,28,none,none,none,REAL,O=C(Nc1nnc(C(F)(F)F)[nH]1)c1ccc2c(=O)n3c(nc2c1)CCCCC3
