Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1002304178_1_T5,Z1002304178,-11.3,0.353,431.43,1.4658,9,3,113.31,5,32,none,none,none,REAL,C[C@]1(c2cccc(CNc3ccc4nnc(-c5ccccc5F)n4n3)c2)NC(=O)NC1=O
Z1000940198_2_T5,Z1000940198,-11.2,0.32,473.488,2.7378,10,3,139.36,5,35,none,none,none,REAL,Cc1cc(-c2cc(C(=O)NCc3cccc([C@@]4(C)NC(=O)NC4=O)c3)c3c(C)noc3n2)c(C)o1
Z1002304178_1_T1,Z1002304178,-11.2,0.35,431.43,1.4658,9,3,113.31,5,32,none,none,none,REAL,C[C@]1(c2cccc(CNc3ccc4nnc(-c5ccccc5F)n4n3)c2)NC(=O)NC1=O
Z993683084_4_T5,Z993683084,-11.2,0.329,456.501,2.2771,8,3,107.61,5,34,high,high,none,REAL,C[C@@]1(c2cccc(CNC(=O)[C@H]3CC(=O)N(c4cccc5ccccc45)C3)c2)NC(=O)NC1=O
Z1927967127_1_T1,Z1927967127,-11.2,0.373,407.379,2.6587,7,2,101.21,1,30,none,none,none,REAL,Nc1ncc2c(n1)CCN(C(=O)c1cc(F)cc3c(=O)c4cc(F)ccc4[nH]c13)C2
ZINC000017189271_T3,ZINC000017189271,-11.2,0.361,433.403,0.7634,10,3,182.97,2,31,none,none,none,ZINC15,O=C1NC(=O)/C(=N/c2cccc3c(O)nnc(O)c23)[C@@H](c2nc3ccccc3s2)C1=O
Z1014391890_5_T2,Z1014391890,-11.1,0.308,490.552,4.0451,6,1,69.3,3,36,none,none,none,REAL,O=C([C@@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccc(F)cc1F)N1CC=C(c2c[nH]c3ncccc23)CC1
Z1614250722_2_T8,Z1614250722,-11.1,0.336,444.494,2.6782,9,3,120.08,4,33,none,none,high,REAL,C[C@@]1(c2cccc(C(=O)N3CCC[C@H](c4n[nH]c(-c5ccccc5)n4)C3)c2)NC(=O)NC1=O
Z1000940282_2_T1,Z1000940282,-11.1,0.317,473.463,2.9081,9,3,126.22,5,35,none,none,none,REAL,Cc1noc2nc(-c3ccc(F)cc3)cc(C(=O)NCc3cccc([C@@]4(C)NC(=O)NC4=O)c3)c12
Z1614250722_2_T7,Z1614250722,-11.1,0.336,444.494,2.6782,9,3,120.08,4,33,none,none,high,REAL,C[C@@]1(c2cccc(C(=O)N3CCC[C@H](c4n[nH]c(-c5ccccc5)n4)C3)c2)NC(=O)NC1=O
Z68550114_2_T1,Z68550114,-11.1,0.3,498.581,3.9418,8,2,110.28,6,37,none,none,none,REAL,C[C@@H](OC(=O)c1cc(-c2cccnc2)nc2ccccc12)C(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2
Z68547169_2_T1,Z68547169,-11.1,0.3,498.581,3.9418,8,2,110.28,6,37,none,none,none,REAL,C[C@@H](OC(=O)c1cc(-c2ccncc2)nc2ccccc12)C(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2
Z1000940198_2_T1,Z1000940198,-11,0.314,473.488,2.7378,10,3,139.36,5,35,none,none,none,REAL,Cc1cc(-c2cc(C(=O)NCc3cccc([C@@]4(C)NC(=O)NC4=O)c3)c3c(C)noc3n2)c(C)o1
Z806293372_2_T5,Z806293372,-11,0.306,480.523,3.3916,8,3,107.61,4,36,high,high,none,REAL,C[C@@]1(c2cccc(NC(=O)[C@@H]3CC(=O)N(c4ccc5c(c4)Cc4ccccc4-5)C3)c2)NC(=O)NC1=O
Z1000939356_2_T2,Z1000939356,-11,0.314,469.5,3.1512,9,3,126.22,5,35,none,none,none,REAL,Cc1ccc(-c2cc(C(=O)NCc3cccc([C@@]4(C)NC(=O)NC4=O)c3)c3c(C)noc3n2)cc1
Z993683084_4_T3,Z993683084,-11,0.324,456.501,2.2771,8,3,107.61,5,34,high,high,none,REAL,C[C@@]1(c2cccc(CNC(=O)[C@H]3CC(=O)N(c4cccc5ccccc45)C3)c2)NC(=O)NC1=O
Z993683084_4_T1,Z993683084,-11,0.324,456.501,2.2771,8,3,107.61,5,34,high,high,none,REAL,C[C@@]1(c2cccc(CNC(=O)[C@H]3CC(=O)N(c4cccc5ccccc45)C3)c2)NC(=O)NC1=O
Z1162536284_1_T1,Z1162536284,-11,0.333,449.493,4.2273,7,2,124.58,2,33,none,none,none,REAL,O=C(Nc1nc2ccccc2c(=O)[nH]1)c1cc(-c2nc3ccccc3s2)nc2ccccc12
Z1002304370_1_T5,Z1002304370,-11,0.355,413.44,1.365,9,3,113.31,5,31,none,none,none,REAL,C[C@]1(c2cccc(CNc3ccc4nnc(-c5ccccc5)n4n3)c2)NC(=O)NC1=O
Z1541650451_1_T1,Z1541650451,-10.9,0.352,422.471,3.7571,7,1,113.31,3,31,none,none,none,REAL,O=C(Nc1nc2ccccn2n1)c1cc(-c2nc3ccccc3s2)nc2ccccc12
Z281532788_1_T2,Z281532788,-10.9,0.295,493.522,3.711,9,2,105.15,4,37,none,high,high,REAL,CCn1c(NNC(=O)c2cc(-c3ccc4c(c3)OCCO4)nc3ccccc23)nc2ccccc2c1=O
Z1039095378_1_T1,Z1039095378,-10.9,0.33,482.33,2.577,9,3,113.31,5,33,none,none,none,REAL,C[C@]1(c2cccc(CNc3ccc4nnc(-c5cc(Cl)cc(Cl)c5)n4n3)c2)NC(=O)NC1=O
Z1002304370_1_T1,Z1002304370,-10.9,0.352,413.44,1.365,9,3,113.31,5,31,none,none,none,REAL,C[C@]1(c2cccc(CNc3ccc4nnc(-c5ccccc5)n4n3)c2)NC(=O)NC1=O
Z1039095378_1_T2,Z1039095378,-10.9,0.33,482.33,2.577,9,3,113.31,5,33,none,none,none,REAL,C[C@]1(c2cccc(CNc3ccc4nnc(-c5cc(Cl)cc(Cl)c5)n4n3)c2)NC(=O)NC1=O
Z1039095378_1_T5,Z1039095378,-10.9,0.33,482.33,2.577,9,3,113.31,5,33,none,none,none,REAL,C[C@]1(c2cccc(CNc3ccc4nnc(-c5cc(Cl)cc(Cl)c5)n4n3)c2)NC(=O)NC1=O
Z1451529036_1,Z1451529036,-10.9,0.363,406.416,2.2065,7,3,94.3,2,30,none,none,none,REAL,C[C@]1(c2cccc(C(=O)N3CCc4[nH]c5ccc(F)cc5c4C3)c2)NC(=O)NC1=O
ZINC000020572816_T2,ZINC000020572816,-10.9,0.295,496.497,2.1523,8,4,114.53,3,37,none,none,none,ZINC15,O=C1Nc2ccc(F)cc2[C@]12N[C@@H](Cc1c[nH]c3ccc(O)cc13)[C@@H]1C(=O)N(c3ccccc3)C(=O)[C@@H]12
ZINC000020758902_T2,ZINC000020758902,-10.9,0.303,478.507,2.0515,8,4,114.53,3,36,none,none,none,ZINC15,O=C1Nc2ccccc2[C@]12N[C@@H](Cc1c[nH]c3ccc(O)cc13)[C@@H]1C(=O)N(c3ccccc3)C(=O)[C@@H]12
ZINC000102513812_T1,ZINC000102513812,-10.9,0.311,490.554,5.506,6,1,111.88,4,35,high,none,none,ZINC15,Cc1ccc(/C(O)=C2\C(=O)C(=O)N(c3nc4ccc(F)cc4s3)[C@H]2c2ccc(C(C)(C)C)cc2)o1
ZINC000408975126_T3,ZINC000408975126,-10.9,0.363,388.429,5.2008,5,2,70.67,2,30,high,high,none,ZINC15,O=C(Nc1ccc2ccccc2c1)c1ccc2[nH]c3nc4ccccc4nc3c2c1
Z2002795192_230_T1,Z2002795192,-10.8,0.4,387.862,2.5246,5,1,64.63,7,27,none,none,high,REAL,CCOCCOc1c(Cl)cccc1NC(=O)[C@@]12[C@@H]3C(=O)[C@H]4[C@@H]5C[C@H]([C@H]41)[C@H]2[C@H]53
Z1000940198_2_T2,Z1000940198,-10.8,0.309,473.488,2.7378,10,3,139.36,5,35,none,none,none,REAL,Cc1cc(-c2cc(C(=O)NCc3cccc([C@@]4(C)NC(=O)NC4=O)c3)c3c(C)noc3n2)c(C)o1
Z1000939356_2_T1,Z1000939356,-10.8,0.309,469.5,3.1512,9,3,126.22,5,35,none,none,none,REAL,Cc1ccc(-c2cc(C(=O)NCc3cccc([C@@]4(C)NC(=O)NC4=O)c3)c3c(C)noc3n2)cc1
Z1002304178_1_T4,Z1002304178,-10.8,0.338,431.43,1.4658,9,3,113.31,5,32,none,none,none,REAL,C[C@]1(c2cccc(CNc3ccc4nnc(-c5ccccc5F)n4n3)c2)NC(=O)NC1=O
Z1002304370_1_T2,Z1002304370,-10.8,0.348,413.44,1.365,9,3,113.31,5,31,none,none,none,REAL,C[C@]1(c2cccc(CNc3ccc4nnc(-c5ccccc5)n4n3)c2)NC(=O)NC1=O
Z1614250722_2_T13,Z1614250722,-10.8,0.327,444.494,2.6782,9,3,120.08,4,33,none,none,high,REAL,C[C@@]1(c2cccc(C(=O)N3CCC[C@H](c4n[nH]c(-c5ccccc5)n4)C3)c2)NC(=O)NC1=O
Z1007204568_2_T7,Z1007204568,-10.8,0.327,447.45,1.2726,10,4,134.44,5,33,none,none,none,REAL,C[C@@]1(c2cccc(CNC(=O)c3c[nH]nc3-c3ccc4c(c3)OCCO4)c2)NC(=O)NC1=O
Z1002304178_1_T3,Z1002304178,-10.8,0.338,431.43,1.4658,9,3,113.31,5,32,none,none,none,REAL,C[C@]1(c2cccc(CNc3ccc4nnc(-c5ccccc5F)n4n3)c2)NC(=O)NC1=O
Z1007204568_2_T5,Z1007204568,-10.8,0.327,447.45,1.2726,10,4,134.44,5,33,none,none,none,REAL,C[C@@]1(c2cccc(CNC(=O)c3c[nH]nc3-c3ccc4c(c3)OCCO4)c2)NC(=O)NC1=O
