Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z358867962_64,Z358867962,-9.8,0.327,415.532,2.1429,7,3,9,30,110.52,none,none,none,REAL,Cc1cccc([C@@H](CC(=O)O[C@@H](C)C(=O)N[C@@H](C)[C@H]2C[C@H]3CC[C@H]2C3)NC(N)=O)c1
ZINC000006161704_T1,ZINC000006161704,-9.7,0.237,564.625,5.1441,10,3,6,41,139.5,none,none,none,ZINC,Cc1ccc(-c2nnc(Nc3ccc4c(c3)OCO4)c3ccccc32)cc1S(=O)(=O)NCc1nc2ccccc2[nH]1
PV-000377205688_2,PV-000377205688,-9.6,0.343,382.423,-0.3696,9,3,3,28,119.55,none,none,none,REAL,O=C(N[C@@H]1C[C@H]2CC[C@@H]1N2C(=O)[C@H]1CCCc2[nH]ncc21)c1ccc(=O)[nH]n1
PV-001877208919_1_T4,PV-001877208919,-9.6,0.331,392.458,3.7476,7,3,3,29,100.19,none,none,none,REAL,CC1(C)CCC[C@H](c2cccc(NC(=O)c3cnc4[nH]c(=O)[nH]c(=O)c4c3)c2)C1
ZINC000006161729_T1,ZINC000006161729,-9.6,0.229,588.613,5.881,8,3,7,42,121.04,none,none,none,ZINC,Cc1ccc(-c2nnc(Nc3cccc(C(F)(F)F)c3)c3ccccc32)cc1S(=O)(=O)NCc1nc2ccccc2[nH]1
Z1494997312_1_T1,Z1494997312,-9.5,0.328,429.524,3.0378,8,2,4,29,140.91,none,low,low,REAL,CN1CC[C@H](C(=O)Nc2nnc(NS(=O)(=O)c3ccccc3)s2)c2ccccc21
Z1748295971_4_T2,Z1748295971,-9.5,0.306,421.456,-0.0476,9,2,2,31,111.18,none,none,none,REAL,O=C([C@H]1CCCCN1C(=O)c1ccc(=O)[nH]n1)N1CC[C@@]2(C1)C(=O)Nc1ccccc12
Z2226999403_1,Z2226999403,-9.5,0.306,431.413,3.3633,6,2,3,31,78.51,none,none,none,REAL,O=C1CNC(=O)c2ccc(C(=O)N3CCC[C@H](c4cccc(C(F)(F)F)c4)C3)cc2N1
Z1610101093_2_T1,Z1610101093,-9.5,0.306,416.459,2.696,7,1,4,31,79.7,none,none,low,REAL,Cc1cc(C(=O)N2CCC[C@H]2c2nc(-c3ccccc3)n[nH]2)nn1-c1ccc(F)cc1
Z1610101091_2_T1,Z1610101091,-9.5,0.306,412.496,2.9391,7,1,4,31,79.7,none,none,low,REAL,Cc1ccc(-n2nc(C(=O)N3CCC[C@H]3c3nc(-c4ccccc4)n[nH]3)cc2C)cc1
Z1684581689_4_T1,Z1684581689,-9.5,0.297,439.377,3.2801,9,2,4,32,118.71,none,none,none,REAL,C[C@@]1(c2cccc(-c3noc([C@H]4CC(c5cc(F)ccc5F)=NO4)n3)c2)NC(=O)NC1=O
Z1684581689_4_T2,Z1684581689,-9.5,0.297,439.377,3.2801,9,2,4,32,118.71,none,none,none,REAL,C[C@@]1(c2cccc(-c3noc([C@H]4CC(c5cc(F)ccc5F)=NO4)n3)c2)NC(=O)NC1=O
ZINC000013730160_T1,ZINC000013730160,-9.5,0.288,479.584,3.3905,8,1,4,33,132.12,none,none,none,ZINC,O=C(c1ccc2nc(NS(=O)(=O)c3ccccc3)sc2c1)N1CCN(c2ccccn2)CC1
ZINC000002229890_T1,ZINC000002229890,-9.5,0.279,477.5,2.8183,10,4,6,34,158.76,low,none,low,ZINC,CC(=O)Nc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2cccc(C(=O)O)c2)cc1
ZINC000095474117_T6,ZINC000095474117,-9.5,0.271,468.52,3.109,10,2,1,35,125.18,none,none,none,ZINC,Cc1nn(-c2ncnc3[nH]cnc32)c2c1[C@@]1(CC(O)=N2)c2cccc3c2N(C1=O)C(C)(C)C[C@H]3C
ZINC000010215018_T2,ZINC000010215018,-9.5,0.264,477.519,4.3478,7,2,6,36,95.58,none,none,none,ZINC,C[C@@]1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)c2ccc(NC(=O)c3ccccc3)cc2)C1=O
ZINC000017159713_T1,ZINC000017159713,-9.5,0.25,520.616,5.0327,8,3,6,38,121.04,none,none,none,ZINC,Cc1ccc(-c2nnc(Nc3ccccc3)c3ccccc32)cc1S(=O)(=O)NCc1nc2ccccc2[nH]1
ZINC000952862595_T1,ZINC000952862595,-9.5,0.237,542.638,2.0971,10,2,1,40,118.45,none,none,none,ZINC,O=C([C@H]1Cc2ccccc2C(=O)N1)N1CCC2(Cc3cn(nn3)CCCOc3ccc(cc3)CCNC2=O)CC1
Z2790043058_1_T2,Z2790043058,-9.4,0.348,363.42,2.5674,7,0,2,27,70.92,none,none,none,REAL,O=C1[C@@H]2CCCc3ccccc3C2=NN1c1nccc(N2CCOCC2)n1
Z2790043058_2_T2,Z2790043058,-9.4,0.348,363.42,2.5674,7,0,2,27,70.92,none,none,none,REAL,O=C1[C@H]2CCCc3ccccc3C2=NN1c1nccc(N2CCOCC2)n1
PV-001965891477_2_T1,PV-001965891477,-9.4,0.336,390.404,4.4462,4,3,4,28,61.36,none,none,none,REAL,O=C(N[C@H]1CCc2ccc(O)cc21)NC1(c2cccc(C(F)(F)F)c2)CCC1
Z2201098239_30_T1,Z2201098239,-9.4,0.336,385.506,2.0041,6,3,6,28,81.67,none,none,none,REAL,C[C@H]1[C@H](NC(=O)NCC[C@@]2(O)C[C@H]3CC[C@H]2C3)CC(=O)N1Cc1ccccc1
