Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000002412360_T1,ZINC000002412360,-13.5,0.365,485.494,4.9931,6,1,81.7,4,37,high,high,high,ZINC,O=C(Nc1ccc(-c2cc3ccccc3oc2=O)cc1)c1cccc(-c2cc3ccccc3oc2=O)c1
ZINC000004015296_T1,ZINC000004015296,-13.2,0.347,493.477,5.3592,7,0,87.12,1,38,high,high,none,ZINC,O=c1nc2c3cccc4cccc(c(=O)n2c2cc(N5C(=O)c6cccc7cccc(c76)C5=O)ccc12)c43
ZINC000005220992_T1,ZINC000005220992,-13.1,0.364,468.427,3.8273,8,0,99.48,0,36,low,high,none,ZINC,O=c1nc2c3ccc4c(=O)n5c(=O)c6ccccc6nc5c5ccc(c(=O)n2c2ccccc12)c3c45
ZINC000017862766_T1,ZINC000017862766,-13.1,0.327,520.587,5.2819,5,1,66.48,3,40,low,high,none,ZINC,O=C(Nc1ccc2ccccc2c1)c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
ZINC000002832254_T1,ZINC000002832254,-13,0.371,473.507,5.1185,5,0,93.73,2,35,high,high,none,ZINC,O=c1oc2ccc3ccccc3c2cc1-c1csc(-c2cc3c(ccc4ccccc43)oc2=O)n1
ZINC000016757167_T3,ZINC000016757167,-13,0.342,498.537,5.2068,6,1,83.55,3,38,high,high,none,ZINC,Cc1ccc(N2C(=O)c3ccccc3/C(=C/Nc3ccc4c(c3)C(=O)c3ccccc3C4=O)C2=O)c(C)c1
ZINC000037246229_T1,ZINC000037246229,-12.9,0.369,465.591,5.8412,4,1,63.24,0,35,none,high,none,ZINC,O=C1c2ccccc2C(=O)c2cc3c(cc21)N[C@H]1CC[C@H]2[C@@H]4CCCC[C@@H]4C(=O)[C@H]4CC[C@H]3[C@H]1[C@@H]42
Z91060830_1_T1,Z91060830,-12.9,0.358,496.586,4.6065,6,0,83.14,3,36,low,high,low,REAL,O=C1c2ccccc2S(=O)(=O)c2cc(C(=O)N3CCN(Cc4cccc5ccccc45)CC3)ccc21
Z1066669856_6_T1,Z1066669856,-12.9,0.349,495.621,5.1826,6,0,60.93,3,37,none,high,none,REAL,O=C(c1cccc2ccccc12)N1CCN(C(=O)[C@H]2C[C@@H]3CCCC[C@H]3N2C(=O)c2ccccc2)CC1
Z758345806_1_T1,Z758345806,-12.8,0.376,473.548,4.2154,6,0,96.97,3,34,low,low,low,REAL,Cc1ccc(C(=O)C2CCN(C(=O)c3ccc4c(c3)S(=O)(=O)c3ccccc3C4=O)CC2)cc1
ZINC000008826512_T3,ZINC000008826512,-12.8,0.376,441.485,4.7085,4,0,50.52,1,34,high,high,none,ZINC,O=C1[C@H]2[C@H](C(=O)N1c1ccc3c(c1)oc1ccccc13)C1c3ccccc3C2c2ccccc21
ZINC000001266504_T1,ZINC000001266504,-12.8,0.366,456.456,3.8402,6,0,84.41,1,35,none,none,none,ZINC,O=C1c2cc3oc4ccccc4c4ccccc4oc3cc2C(=O)N1c1cccc2cccnc21
Z367327618_1_T1,Z367327618,-12.8,0.356,481.55,4.6091,7,1,86.79,4,36,none,high,high,REAL,Cc1ccc(C(=O)C2CCN(C(=O)c3ccc4c(=O)n(-c5ccccc5)c(=O)[nH]c4c3)CC2)c(C)c1
Z383456236_1_T1,Z383456236,-12.8,0.337,499.577,4.5481,8,0,79.52,3,38,none,high,low,REAL,Cc1cc(N2CCN(C(=O)c3cc(-c4cccc5ccccc45)nc4ccccc34)CC2)n2ncnc2n1
ZINC000018021374_T4,ZINC000018021374,-12.8,0.337,498.537,2.0261,6,2,86.71,2,38,high,high,low,ZINC,O=C(NN1C(=O)[C@H]2[C@@H](C1=O)C1c3ccccc3C2c2ccccc21)C1(O)c2ccccc2-c2ccccc21
ZINC000408731626_T1,ZINC000408731626,-12.8,0.337,499.565,5.7579,5,0,63.68,2,38,low,high,high,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4c5ccccc5ccc4C2=C[C@H]3c2ccccc2)cc1C
ZINC000408731630_T1,ZINC000408731630,-12.8,0.337,499.565,5.7579,5,0,63.68,2,38,low,high,high,ZINC,Cc1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4c5ccccc5ccc4C2=C[C@H]3c2ccccc2)cc1C
ZINC000017988176_T1,ZINC000017988176,-12.8,0.32,521.571,5.5649,5,0,63.68,4,40,none,none,none,ZINC,O=C(Oc1ccc2ccccc2c1)c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
Z1452691933_2,Z1452691933,-12.7,0.385,445.493,3.8376,6,3,79.46,7,33,none,none,none,REAL,O=C(NC[C@H]1[C@@H]2Cc3ccccc3[C@H]12)NNC(=O)c1ccccc1OCc1ccc(F)cc1
Z1529686811_1_T1,Z1529686811,-12.7,0.385,437.541,4.5608,5,0,43.86,2,33,high,high,none,REAL,CN1C(=O)CCc2cc(C(=O)N3CCN(C4c5ccccc5-c5ccccc54)CC3)ccc21
Z1260000954_1_T1,Z1260000954,-12.7,0.385,436.466,4.1079,6,2,84.5,4,33,none,high,low,REAL,O=C(NNC(=O)c1cccc2ccccc12)c1ccc2c(c1)C[C@@H](c1ccccc1)OC2=O
