Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000004015296_T1,ZINC000004015296,-10.6,0.279,493.477,5.3592,7,0,87.12,1,38,high,high,none,ZINC,O=c1nc2c3cccc4cccc(c(=O)n2c2cc(N5C(=O)c6cccc7cccc(c76)C5=O)ccc12)c43
ZINC000254722125_T1,ZINC000254722125,-10.4,0.289,558.411,3.4487,7,0,104.62,1,36,low,low,low,ZINC,O=C(N=C1N=C2C=CC(Br)=CN2Cc2ccccc21)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O
ZINC000409337264_T2,ZINC000409337264,-10.3,0.271,499.565,5.7579,5,0,63.68,2,38,high,high,high,ZINC,Cc1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4ccc5ccccc5c4C2=C[C@H]3c2ccccc2)c(C)c1
ZINC000409336236_T2,ZINC000409336236,-10.3,0.271,499.565,5.7579,5,0,63.68,2,38,high,high,high,ZINC,Cc1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4ccc5ccccc5c4C2=C[C@H]3c2ccccc2)cc1C
ZINC000409330841_T1,ZINC000409330841,-10.3,0.271,494.509,5.1561,7,1,92.26,3,38,low,low,none,ZINC,O=C(Nc1ccc2nc3c4ccccc4c4ccccc4c3nc2c1)c1ccc(N2C(=O)C=CC2=O)cc1
ZINC000015990071_T1,ZINC000015990071,-10.3,0.257,527.626,5.4782,7,1,78.43,4,40,none,none,none,ZINC,Cc1cccc(Nc2nnc(-c3ccc(C(=O)N4C[C@H]5C[C@@H](C4)c4cccc(=O)n4C5)cc3)c3ccccc32)c1
ZINC000019375342_T1,ZINC000019375342,-10.2,0.276,498.585,2.9974,9,1,94.4,4,37,none,none,high,ZINC,O=c1[nH]c2cc3c(cc2cc1[C@H](c1nnnn1C1CCCCC1)N1CCc2ccccc2C1)OCCO3
ZINC000100485505_T2,ZINC000100485505,-10.1,0.316,410.431,5.3836,4,0,58.86,0,32,low,high,none,ZINC,O=C1c2ccc3c4c(ccc(c24)C2=Nc4ccccc4[C@@H]21)C1=Nc2ccccc2[C@@H]1C3=O
ZINC000100485505_T6,ZINC000100485505,-10.1,0.316,410.431,5.3836,4,0,58.86,0,32,low,high,none,ZINC,O=C1c2ccc3c4c(ccc(c24)C2=Nc4ccccc4[C@@H]21)C1=Nc2ccccc2[C@@H]1C3=O
Z1451423747_2_T1,Z1451423747,-10.1,0.316,425.487,2.9561,6,2,78.51,3,32,none,none,none,REAL,C[C@@]1(c2cccc(C(=O)N3Cc4ccccc4[C@H](c4ccccc4)C3)c2)NC(=O)NC1=O
Z1024048888_3_T1,Z1024048888,-10.1,0.316,427.546,4.7574,5,2,65.2,2,32,none,none,none,REAL,C[C@@H]1CCc2[nH]c3ccc(C(=O)N4CCC([C@H]5C(=O)Nc6ccccc65)CC4)cc3c2C1
Z2008317854_1_T1,Z2008317854,-10.1,0.297,449.513,3.8088,7,0,69.21,3,34,none,none,none,REAL,Cn1c(-c2cc(-c3ccco3)nc3ccccc23)nnc1N1CC[C@]2(C1)OCc1ccccc12
ZINC000001862466_T1,ZINC000001862466,-10.1,0.289,455.468,5.9223,5,0,65.49,1,35,high,high,none,ZINC,Cc1nc(-c2cc3c(ccc4ccccc43)oc2=O)cc2c1c(=O)oc1ccc3ccccc3c12
