Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1948615421_357_T1,Z1948615421,-10.3,0.381,361.444,1.511,5,3,73.99,4,27,none,none,none,REAL,O=C(Cc1c[nH]c2ccccc12)NNC(=O)[C@@H]1[C@@H]2[C@H]3C[C@@H]4[C@@H]5[C@H]3C[C@H]2[C@@H]5[C@H]41
Z2107144412_1,Z2107144412,-10.2,0.34,439.398,3.412,10,4,158.92,2,30,none,high,none,REAL,O=C(Nc1nc2cc3c(cc2s1)OC(F)(F)O3)NC1CCC2(CC1)NC(=O)NC2=O
Z1552768547_1,Z1552768547,-10.2,0.309,440.458,3.0947,8,3,105.34,4,33,none,none,none,REAL,O=C(Nc1ccc2[nH]nc(NC(=O)[C@@H]3Cc4ccccc4O3)c2c1)[C@@H]1Cc2ccccc2O1
Z1964946249_2_T1,Z1964946249,-10.2,0.309,436.47,4.2092,7,2,93.21,5,33,none,none,none,REAL,O=C(Nc1ncc(-c2ccccc2)cn1)c1cccc(NC(=O)[C@H]2Cc3ccccc3O2)c1
Z771659438_1_T1,Z771659438,-10.2,0.309,435.438,3.6412,7,2,95.58,4,33,none,none,none,REAL,O=C(NNC(=O)c1ccc2ccccc2c1)c1cccc(N2C(=O)c3ccccc3C2=O)c1
Z808823656_1_T2,Z808823656,-10.2,0.3,451.485,4.5846,8,3,112.91,6,34,none,none,none,REAL,Cc1ccc(-c2nnc(NC(=O)Cc3ccc(NC(=O)c4cc5ccccc5o4)cc3)[nH]2)cc1
Z2902833602_26_T1,Z2902833602,-10.2,0.283,474.519,3.5919,7,0,89.19,4,36,low,none,high,REAL,O=C1[C@@H]2[C@@H]3C=C[C@H]([C@@H]2C(=O)N1Cc1ccccc1)[C@@H]1C(c2nc(-c4nccc5ccccc45)no2)[C@H]31
Z1951855995_473_T1,Z1951855995,-10.1,0.374,361.444,1.1403,5,2,63.13,4,27,none,none,none,REAL,O=C(Cn1ccc2ccccc21)NNC(=O)[C@@H]1[C@@H]2[C@@H]3C[C@H]4[C@H]5[C@@H]3C[C@H]2[C@H]5[C@H]41
Z1983290694_31_T1,Z1983290694,-10.1,0.348,392.458,2.2831,7,1,88.33,4,29,high,none,none,REAL,O=C1N[C@]2(C[C@H]3C[C@H]2[C@H]2CCC[C@H]32)C(=O)N1Cc1nc(Cc2ccccc2)no1
Z424333662_2_T5,Z424333662,-10.1,0.326,413.432,3.9845,7,3,100.44,3,31,low,low,none,REAL,Cc1c(C(=O)Nc2cccc([C@@]3(C)NC(=O)NC3=O)c2)oc2c1ccc1ccccc12
Z1983283234_6_T1,Z1983283234,-10.1,0.316,446.428,3.069,7,1,88.33,4,32,high,none,none,REAL,O=C1N[C@@]2(C[C@@H]3C[C@H]2[C@@H]2CCC[C@@H]32)C(=O)N1Cc1nc(-c2ccc(C(F)(F)F)cc2)no1
Z1846564942_2_T3,Z1846564942,-10.1,0.316,429.479,3.8098,8,2,104.12,4,32,none,none,none,REAL,C[C@@]1(C(=O)Nc2nnc(-c3cc4ccccc4o3)[nH]2)CCCN(C(=O)c2ccccc2)C1
Z1155349940_1_T1,Z1155349940,-10.1,0.306,454.509,4.6391,7,1,120.5,5,33,none,none,none,REAL,Cc1ccc(Cc2nnc(NC(=O)c3cccc(N4C(=O)c5ccccc5C4=O)c3)s2)cc1
Z606310524_2_T1,Z606310524,-10.1,0.297,452.469,2.9242,8,3,109.42,5,34,none,none,none,REAL,O=C(NNC(=O)c1ccc2ccccc2n1)c1cccc(NC(=O)[C@H]2Cc3ccccc3O2)c1
ZINC000146057035_T3,ZINC000146057035,-10.1,0.24,566.639,3.5019,10,3,126.92,5,42,none,none,none,ZINC,CCc1cc(O)c(F)cc1-c1ccc2c(c1)[nH]nc2-c1nc2c([nH]1)CCN(C(=O)c1cnc(N3CCCCC3)cn1)C2
ZINC000005209194_T1,ZINC000005209194,-10,0.37,351.364,4.9654,5,0,56.49,0,27,low,low,none,ZINC,Cc1nc2oc3c4ccccc4ccc3c(=O)c2c2nc3ccccc3n21
PV-001940740368_25_T1,PV-001940740368,-10,0.313,456.609,3.5056,7,3,108.57,7,32,none,none,none,REAL,C[C@H](CNC(=O)Nc1ccc(S(=O)(=O)N[C@H](C)[C@@H]2C[C@H]3CC[C@H]2C3)cc1)c1ccncc1
Z2003415070_233,Z2003415070,-10,0.313,422.526,3.6189,4,0,40.62,2,32,high,high,none,REAL,O=C1[C@@H]2[C@@H]3C[C@@H]4[C@H]2[C@]2(C(=O)N5CCN(C6c7ccccc7-c7ccccc76)CC5)[C@H]1[C@H]3[C@H]42
Z1846550710_1_T3,Z1846550710,-10,0.313,421.415,4.5274,8,3,112.91,3,32,none,none,none,REAL,O=C(Nc1nnc(-c2cc3ccccc3o2)[nH]1)c1ccc2[nH]c3ccccc3c(=O)c2c1
Z1155287541_1_T1,Z1155287541,-10,0.303,458.472,4.396,7,1,120.5,5,33,none,none,none,REAL,O=C(Nc1nnc(Cc2ccccc2F)s1)c1cccc(N2C(=O)c3ccccc3C2=O)c1
Z1147973033_1_T1,Z1147973033,-10,0.303,458.472,4.396,7,1,120.5,5,33,none,none,none,REAL,O=C(Nc1nnc(Cc2cccc(F)c2)s1)c1cccc(N2C(=O)c3ccccc3C2=O)c1
Z2233592032_1_T2,Z2233592032,-10,0.303,443.441,3.7128,9,2,122.48,6,33,none,none,low,REAL,Cc1cc(-c2noc(CCC(=O)Nc3nc(-c4ccc5ccccc5n4)n[nH]3)n2)ccc1F
Z2168988264_12_T1,Z2168988264,-10,0.294,449.509,3.0667,6,1,79.37,4,34,none,none,high,REAL,O=C(Nc1ccc2ccccc2n1)C1[C@H]2[C@@H]3C=C[C@@H]([C@H]4C(=O)N(Cc5ccccc5)C(=O)[C@H]34)[C@H]12
ZINC000009062320_T1,ZINC000009062320,-10,0.294,470.508,5.0582,8,2,134.59,6,34,none,none,none,ZINC,COc1ccc(-c2nnc(NC(=O)c3cccc(NC(=O)c4cc5ccccc5o4)c3)s2)cc1
Z1092442234_1_T2,Z1092442234,-10,0.286,468.468,4.8201,9,2,115.58,7,35,none,none,high,REAL,Cc1cc(=O)oc2cc(OCc3ccc(C(=O)NNc4nc(-c5ccccc5)no4)cc3)ccc12
Z2902833602_19_T1,Z2902833602,-10,0.278,474.519,3.5919,7,0,89.19,4,36,low,none,high,REAL,O=C1[C@@H]2[C@@H]3C=C[C@H]([C@H]2C(=O)N1Cc1ccccc1)[C@H]1C(c2nc(-c4nccc5ccccc45)no2)[C@@H]31
Z2902490588_19_T1,Z2902490588,-10,0.278,491.468,4.1557,6,0,76.3,5,36,none,none,high,REAL,O=C1[C@@H]2[C@@H]3C=C[C@H]([C@H]2C(=O)N1Cc1ccccc1)[C@H]1C(c2nc(-c4cccc(C(F)(F)F)c4)no2)[C@@H]31
Z2902416169_1_T1,Z2902416169,-10,0.278,477.523,3.3718,8,1,91.57,5,36,high,high,none,REAL,Cc1c(NC(=O)Cc2noc(-c3ccc4c(c3)-c3ccccc3C4)n2)c(=O)n(-c2ccccc2)n1C
Z899977586_2_T2,Z899977586,-10,0.278,498.46,3.1058,8,4,108.56,7,36,none,none,none,REAL,O=C(NCc1cccc(C(F)(F)F)c1)NNC(=O)c1cccc(NC(=O)[C@H]2Cc3ccccc3O2)c1
ZINC000198754475_T1,ZINC000198754475,-10,0.278,464.475,4.78,4,0,68.28,0,36,none,none,none,ZINC,O=C1c2ccccc2C(=O)C2=C3C=CC4=CC5=C(C(=O)c6ccccc6C5=O)C5=CC=C(C=C12)[C@@H]3[C@H]45
Z2902892451_1_T1,Z2902892451,-10,0.27,498.56,3.4952,8,0,78.6,4,37,none,none,none,REAL,CC(=O)N1Cc2ccccc2C[C@@H]1c1nc(-c2ccc(N3CCN(c4ccc(F)cc4)CC3)nc2)no1
Z2201098239_30_T1,Z2201098239,-9.9,0.354,385.506,2.0041,6,3,81.67,6,28,none,none,none,REAL,C[C@H]1[C@H](NC(=O)NCC[C@@]2(O)C[C@H]3CC[C@H]2C3)CC(=O)N1Cc1ccccc1
Z2311242839_8_T1,Z2311242839,-9.9,0.341,398.461,1.6894,8,2,94.48,8,29,none,none,low,REAL,CCOC(=O)c1ccn(-c2cccc(NC(=O)NCC[C@H]3C[C@H]4CC[C@H]3O4)c2)n1
Z1102797879_1_T2,Z1102797879,-9.9,0.309,422.443,3.678,7,2,95.16,4,32,none,none,none,REAL,Cc1ccc(-c2cc(C(=O)Nc3cccc(N4C(=O)c5ccccc5C4=O)c3)[nH]n2)cc1
Z2159455398_1_T1,Z2159455398,-9.9,0.3,438.49,4.7616,8,1,92.84,3,33,none,none,high,REAL,O=C(Cc1noc(-c2cccc3c4c([nH]c23)CCCC4)n1)N1CCn2c1nc1ccccc12
Z1891122752_2_T1,Z1891122752,-9.9,0.3,433.47,4.1087,7,0,76.53,3,33,high,high,none,REAL,O=C1C[C@@H](c2nc(-c3cccn4ccnc34)no2)CN1c1ccc2c(c1)Cc1ccccc1-2
Z1479030117_1_T1,Z1479030117,-9.9,0.3,444.469,4.4279,8,1,97.04,4,33,none,none,none,REAL,O=C(Nc1ccc(-c2ccccc2)nn1)N1CCC[C@H](c2nc(-c3cccc(F)c3)no2)C1
Z1685321062_1_T2,Z1685321062,-9.9,0.291,449.469,4.1744,8,1,106.79,4,34,none,none,none,REAL,Cc1nnc(-c2cccc(-c3noc(-c4ccc5c(c4)C[C@@H](c4ccccc4)OC5=O)n3)c2)[nH]1
ZINC000072442535_T1,ZINC000072442535,-9.9,0.291,448.529,5.802,7,2,84.73,5,34,high,high,none,ZINC,Cc1nn(-c2ccc(Nc3ccc(NC(=O)c4cccc5ccccc54)cc3)nn2)c(C)c1C
