Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000017862766_T2,ZINC000017862766,-11.4,0.285,520.587,5.2819,5,1,66.48,3,40,low,high,none,ZINC,O=C(Nc1ccc2ccccc2c1)c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
Z2785110607_153_T2,Z2785110607,-11.1,0.411,365.428,1.7167,5,1,72.47,7,27,none,none,none,REAL,CCCOc1ccccc1C(=O)CNC(=O)[C@]12[C@@H]3C(=O)[C@@H]4[C@H]5C[C@@H]([C@@H]41)[C@@H]2[C@H]53
ZINC000017862766_T1,ZINC000017862766,-11.1,0.278,520.587,5.2819,5,1,66.48,3,40,low,high,none,ZINC,O=C(Nc1ccc2ccccc2c1)c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
ZINC000017862766_T4,ZINC000017862766,-10.9,0.273,520.587,5.2819,5,1,66.48,3,40,low,high,none,ZINC,O=C(Nc1ccc2ccccc2c1)c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
ZINC000240824838_T24,ZINC000240824838,-10.8,0.277,516.556,2.7342,8,1,103.44,3,39,none,none,high,ZINC,O=C1[C@@H]2[C@H]3C=C[C@@H](C3)[C@H]2C(=O)N1c1ccc(-c2nc3ccc(N4C(=O)[C@@H]5[C@H]6C=C[C@@H](C6)[C@@H]5C4=O)cc3[nH]2)cc1
Z1082363914_8_T2,Z1082363914,-10.7,0.345,426.515,1.4792,8,2,112.81,3,31,high,none,none,REAL,C[C@H]1CC(C)(C)C[C@@]2(C1)NC(=O)N(CC(=O)N1C[C@@H](C(N)=O)Cc3ccccc31)C2=O
Z1531172578_3_T1,Z1531172578,-10.7,0.334,444.495,3.9738,4,0,40.62,3,32,none,none,none,REAL,CN1C(=O)CC[C@H](C(=O)N2Cc3ccccc3C(C)(C)C2)[C@H]1c1ccc(C(F)(F)F)cc1
ZINC000017988176_T1,ZINC000017988176,-10.7,0.268,521.571,5.5649,5,0,63.68,4,40,none,none,none,ZINC,O=C(Oc1ccc2ccccc2c1)c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
ZINC000100505727_T16,ZINC000100505727,-10.6,0.286,488.542,3.5099,6,0,74.76,2,37,high,high,high,ZINC,O=C1[C@@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C(=O)N1c1ccc2c(c1)-c1cc(N3C(=O)[C@H]4[C@H]5C=C[C@H](C5)[C@@H]4C3=O)ccc1C2
Z1147822896_1_T1,Z1147822896,-10.6,0.312,470.45,4.2075,7,0,79.54,4,34,none,none,none,REAL,O=C(c1ccc(-c2noc(C(F)(F)F)n2)cc1)N1CCC(C(=O)N2CCc3ccccc32)CC1
ZINC000101343712_T7,ZINC000101343712,-10.6,0.303,460.488,3.4187,6,0,70.83,3,35,low,high,none,ZINC,O=C(c1ccco1)[C@@H]1[C@@H]2C(=O)N(c3ccc4ccccc4c3)C(=O)[C@H]2[C@H]2c3ccccc3C=CN12
Z1766229415_1_T2,Z1766229415,-10.5,0.339,410.472,5.0224,5,2,67.43,2,31,none,none,none,REAL,O=C(N[C@@H]1CC2(CCC2)Oc2ccccc21)c1ccc2[nH]c3ccccc3c(=O)c2c1
Z1250586272_2_T4,Z1250586272,-10.5,0.318,438.486,2.4639,7,3,103.68,3,33,none,none,none,REAL,Cc1cc(C(=O)NC[C@H]2CC3c4ccccc4C2c2ccccc23)nc2nc(O)[nH]c(=O)c12
Z1323884037_1_T3,Z1323884037,-10.5,0.339,425.373,3.1384,8,2,101.38,4,31,high,high,low,REAL,Cc1nc(C(=O)Nc2ccc3c(c2)Cc2ccccc2-3)nn1-c1nnc(C(F)(F)F)[nH]1
