Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1024051824_4_T1,Z1024051824,-10.7,0.289,491.589,4.6889,6,1,69.72,3,37,high,high,none,REAL,O=C1Nc2ccccc2[C@H]1C1CCN(C(=O)[C@H]2CC(=O)N(c3ccc4c(c3)Cc3ccccc3-4)C2)CC1
Z1452691933_2,Z1452691933,-10.6,0.321,445.493,3.8376,6,3,79.46,7,33,none,none,none,REAL,O=C(NC[C@H]1[C@@H]2Cc3ccccc3[C@H]12)NNC(=O)c1ccccc1OCc1ccc(F)cc1
PV-001960106277_1_T1,PV-001960106277,-10.5,0.35,399.493,3.4892,5,2,61.44,3,30,none,none,none,REAL,C[C@@H]1C(=O)Nc2ccccc2CN1C(=O)N[C@@H](C)c1ccc(-c2ccccc2)cc1
Z1716062271_2,Z1716062271,-10.5,0.328,424.455,3.4362,6,0,66.92,2,32,none,none,none,REAL,O=C(c1cccc(N2C(=O)c3ccccc3C2=O)c1)N1CC[C@@]2(C1)OCc1ccccc12
Z685930754_1_T1,Z685930754,-10.5,0.309,449.425,3.3697,9,0,108.97,3,34,none,none,low,REAL,Cn1nc(-c2nnc(-c3cccc(N4C(=O)c5ccccc5C4=O)c3)o2)c2ccccc2c1=O
PV-001960115042_1_T1,PV-001960115042,-10.4,0.385,363.46,2.6448,5,2,61.44,2,27,none,none,none,REAL,C[C@@H]1C(=O)Nc2ccccc2CN1C(=O)N[C@H](C)c1ccc2c(c1)CCC2
ZINC000000659883_T3,ZINC000000659883,-10.3,0.271,496.565,5.8438,5,1,66.48,3,38,high,low,none,ZINC,O=C(c1ccccc1)c1ccc2c(c1)NC1=C(C(=O)C[C@H](c3ccccc3)C1)[C@H]1c3ccccc3C(=O)N21
ZINC000012863900_T1,ZINC000012863900,-10.3,0.286,482.514,4.0912,7,2,85.51,4,36,high,none,none,ZINC,C[C@]12C(=O)N(c3cccc(C(=O)NCc4ccc(F)cc4)c3)C(=O)N1CCc1c3ccccc3[nH]c12
PV-001960430807_3_T1,PV-001960430807,-10.3,0.322,424.503,3.3248,6,2,85.23,3,32,none,none,none,REAL,C[C@H](NC(=O)N1Cc2ccccc2NC(=O)[C@H]1C)c1ccc(-c2cccc(C#N)c2)cc1
Z272412450_1_T1,Z272412450,-10.3,0.294,491.546,4.0621,8,1,105.57,4,35,high,high,none,REAL,O=C(CN1c2cccc3cccc(c23)S1(=O)=O)Nc1ccc(F)c(-c2nnc3n2CCCCC3)c1
Z29556548_2_T1,Z29556548,-10.3,0.303,455.473,1.3071,9,2,111.18,4,34,high,high,none,REAL,Cn1nc(C(=O)NNC(=O)[C@H]2CC(=O)N(c3cccc4ccccc34)C2)c2ccccc2c1=O
ZINC000000659883_T1,ZINC000000659883,-10.2,0.268,496.565,5.8438,5,1,66.48,3,38,high,low,none,ZINC,O=C(c1ccccc1)c1ccc2c(c1)NC1=C(C(=O)C[C@H](c3ccccc3)C1)[C@H]1c3ccccc3C(=O)N21
Z1025125890_2_T1,Z1025125890,-10.2,0.319,428.491,3.2367,7,3,90.54,3,32,none,none,none,REAL,O=C(NNC(=O)N1CCC([C@H]2C(=O)Nc3ccccc32)CC1)c1ccc2ccccc2c1
