Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1375388198_2_T1,Z1375388198,-10.4,0.347,405.496,3.627,6,2,70.67,1,30,none,none,none,REAL,C[C@H]1Oc2ccc(NC(=O)N3CCC[C@]4(CCCc5ccccc54)C3)cc2NC1=O
Z3095177725_1_T2,Z3095177725,-10.3,0.355,394.434,1.5469,9,1,98.3,2,29,none,none,low,REAL,Cn1nc(-c2nnc(N3CCC[C@]4(CC(=O)c5ccccc5O4)C3)n2C)cc1O
Z2524819091_16_T1,Z2524819091,-10.3,0.303,477.671,4.1668,5,1,77.95,7,34,none,none,none,REAL,CC(C)NC(=O)CSc1ccccc1C(=O)N1C[C@H]2CC[C@H]1[C@H]1CN(Cc3ccccc3)C[C@H]21
Z1024047020_4_T1,Z1024047020,-10.3,0.294,466.535,4.5338,6,1,75.71,3,35,none,none,none,REAL,O=C1O[C@@H](c2ccccc2)Cc2cc(C(=O)N3CCC([C@H]4C(=O)Nc5ccccc54)CC3)ccc21
ZINC000408731628_T4,ZINC000408731628,-10.3,0.271,499.565,5.7579,5,0,63.68,2,38,low,high,high,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4c5ccccc5ccc4C2=C[C@@H]3c2ccccc2)cc1C
Z804319726_1_T7,Z804319726,-10.1,0.306,448.478,2.7366,9,2,109.86,1,33,none,none,none,REAL,C[C@@H]1c2cc3c(cc2C2(CCCC2)CN1C(=O)c1cnc2[nH]c(=O)[nH]c(=O)c2c1)OCCO3
Z980048004_5_T1,Z980048004,-10.1,0.297,465.503,3.6994,7,2,90.98,4,34,none,none,low,REAL,Cc1nc(-c2cccc(NC(=O)[C@@H]3C[C@@H]4CCCC[C@H]4N3C(=O)c3ccc(F)cc3F)c2)n[nH]1
Z1128906577_7_T3,Z1128906577,-10.1,0.281,482.538,5.3817,8,2,100.1,4,36,none,none,none,REAL,O=C(Nc1cccc(-c2noc(=O)[nH]2)c1)[C@@H]1C[C@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1
Z1375407436_1_T1,Z1375407436,-10,0.323,420.491,3.6728,7,1,75.94,2,31,none,none,none,REAL,Cc1nnnn1-c1cc(NC(=O)N2CCC[C@]3(CCCc4ccccc43)C2)ccc1F
Z363564868_1_T1,Z363564868,-10,0.323,419.48,3.4254,7,2,79.9,1,31,none,none,none,REAL,C[C@@H]1c2cc3c(cc2C2(CCCC2)CN1C(=O)c1ccc2[nH]c(=O)[nH]c2c1)OCCO3
Z2002724890_153_T1,Z2002724890,-10,0.323,414.547,3.397,4,2,58.2,4,31,none,none,none,REAL,O=C1[C@@H]2[C@@H]3C[C@@H]4[C@H]2[C@@]2(C(=O)Nc5ccccc5NC56CC7CC(CC(C7)C5)C6)[C@@H]1[C@@H]3[C@H]42
Z804319726_1_T1,Z804319726,-10,0.303,448.478,2.7366,9,2,109.86,1,33,none,none,none,REAL,C[C@@H]1c2cc3c(cc2C2(CCCC2)CN1C(=O)c1cnc2[nH]c(=O)[nH]c(=O)c2c1)OCCO3
ZINC000015972852_T2,ZINC000015972852,-10,0.27,494.525,2.8419,7,3,94.3,3,37,none,none,none,ZINC,Cc1ccc2c(c1)[C@]1(N[C@@H](Cc3c[nH]c4ccccc34)[C@H]3C(=O)N(c4ccc(F)cc4)C(=O)[C@H]31)C(=O)N2
ZINC000408731317_T4,ZINC000408731317,-10,0.263,499.565,5.7579,5,0,63.68,2,38,low,low,high,ZINC,Cc1ccc(C)c(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4c5ccccc5ccc4C2=C[C@@H]3c2ccccc2)c1
ZINC000029748614_T1,ZINC000029748614,-10,0.256,560.65,5.5425,8,0,117.8,2,39,none,none,none,ZINC,C[C@H]1CN(S(=O)(=O)c2ccc3oc4ccccc4c3c2)CCN1S(=O)(=O)c1ccc2oc3ccccc3c2c1
Z1375407921_1_T1,Z1375407921,-9.9,0.341,391.47,4.2403,6,1,61.88,1,29,high,none,none,REAL,Cn1c(=O)oc2cc(NC(=O)N3CCC[C@]4(CCCc5ccccc54)C3)ccc21
Z1286742852_1,Z1286742852,-9.9,0.33,402.417,1.1132,10,1,110.3,3,30,none,none,none,REAL,Cc1c(C(=O)N2CCn3c(nnc3-c3ccccc3)C2)cnn1-c1ccc(=O)[nH]n1
Z1375416574_1_T1,Z1375416574,-9.9,0.33,405.496,3.6606,6,1,61.88,1,30,none,none,none,REAL,CN1C(=O)COc2ccc(NC(=O)N3CCC[C@]4(CCCc5ccccc54)C3)cc21
Z1069479500_2_T2,Z1069479500,-9.9,0.3,448.478,2.3305,9,1,114.63,4,33,none,none,none,REAL,CCc1noc2ncc(C(=O)N3CCC(C(=O)c4ccc5c(c4)NC(=O)[C@H](C)O5)CC3)cc12
Z980048004_7_T1,Z980048004,-9.9,0.291,465.503,3.6994,7,2,90.98,4,34,none,none,low,REAL,Cc1nc(-c2cccc(NC(=O)[C@@H]3C[C@H]4CCCC[C@H]4N3C(=O)c3ccc(F)cc3F)c2)n[nH]1
ZINC000008921453_T1,ZINC000008921453,-9.9,0.261,498.537,2.0261,6,2,86.71,2,38,high,high,low,ZINC,O=C(NN1C(=O)[C@@H]2[C@@H](C1=O)C1c3ccccc3C2c2ccccc21)C1(O)c2ccccc2-c2ccccc21
ZINC000018021374_T1,ZINC000018021374,-9.9,0.261,498.537,2.0261,6,2,86.71,2,38,high,high,low,ZINC,O=C(NN1C(=O)[C@H]2[C@@H](C1=O)C1c3ccccc3C2c2ccccc21)C1(O)c2ccccc2-c2ccccc21
Z1730914635_4_T1,Z1730914635,-9.8,0.338,393.442,2.1299,7,2,79.9,1,29,none,none,none,REAL,C[C@H]1Oc2ccc(NC(=O)N3CCC[C@@]4(C3)OCc3ccccc34)cc2NC1=O
Z1907684399_188,Z1907684399,-9.8,0.338,416.54,1.7711,6,3,103.88,6,29,none,none,none,REAL,CCS(=O)(=O)NCc1ccc(C(=O)NC[C@@]2(O)[C@H]3[C@@H]4C[C@H]5[C@H]6[C@H]4C[C@@H]3[C@H]6[C@@H]52)cc1
Z1375393010_1_T1,Z1375393010,-9.8,0.327,402.5,3.572,7,1,75.94,2,30,none,none,none,REAL,Cc1nnnn1-c1cccc(NC(=O)N2CCC[C@]3(CCCc4ccccc43)C2)c1
Z2167520785_2_T1,Z2167520785,-9.8,0.306,433.49,3.3466,8,1,79.18,3,32,none,none,none,REAL,O=C(Nc1ccc(F)c(-n2nnnc2C2CC2)c1)N1CCCN2c3ccccc3C[C@H]2C1
Z1014500564_5_T1,Z1014500564,-9.8,0.297,463.967,4.1038,7,2,90.98,4,33,none,none,low,REAL,Cc1nc(-c2cccc(NC(=O)[C@@H]3C[C@@H]4CCCC[C@H]4N3C(=O)c3cccc(Cl)c3)c2)n[nH]1
Z1014500564_7_T1,Z1014500564,-9.8,0.297,463.967,4.1038,7,2,90.98,4,33,none,none,low,REAL,Cc1nc(-c2cccc(NC(=O)[C@@H]3C[C@H]4CCCC[C@H]4N3C(=O)c3cccc(Cl)c3)c2)n[nH]1
Z804319726_1_T6,Z804319726,-9.8,0.297,448.478,2.7366,9,2,109.86,1,33,none,none,none,REAL,C[C@@H]1c2cc3c(cc2C2(CCCC2)CN1C(=O)c1cnc2[nH]c(=O)[nH]c(=O)c2c1)OCCO3
ZINC000015967689_T2,ZINC000015967689,-9.8,0.272,476.535,2.7411,7,3,94.3,3,36,none,none,none,ZINC,Cc1ccc2c(c1)[C@]1(N[C@@H](Cc3c[nH]c4ccccc34)[C@H]3C(=O)N(c4ccccc4)C(=O)[C@H]31)C(=O)N2
Z1128906577_7_T1,Z1128906577,-9.8,0.272,482.538,5.3817,8,2,100.1,4,36,none,none,none,REAL,O=C(Nc1cccc(-c2noc(=O)[nH]2)c1)[C@@H]1C[C@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1
ZINC000035375696_T3,ZINC000035375696,-9.8,0.265,490.561,3.085,7,3,94.3,3,37,none,none,none,ZINC,Cc1ccc2c(c1)[C@]1(N[C@@H](Cc3c[nH]c4ccccc34)[C@H]3C(=O)N(c4cccc(C)c4)C(=O)[C@H]31)C(=O)N2
ZINC000015972852_T3,ZINC000015972852,-9.8,0.265,494.525,2.8419,7,3,94.3,3,37,none,none,none,ZINC,Cc1ccc2c(c1)[C@]1(N[C@@H](Cc3c[nH]c4ccccc34)[C@H]3C(=O)N(c4ccc(F)cc4)C(=O)[C@H]31)C(=O)N2
Z816768986_1_T1,Z816768986,-9.8,0.265,498.581,2.479,8,2,98.82,3,37,none,none,none,REAL,O=C1CN(C(=O)CC23C[C@H]4C[C@@H](C2)CC(C(=O)N2CC(=O)Nc5ccccc52)(C4)C3)c2ccccc2N1
Z816768986_2_T1,Z816768986,-9.8,0.265,498.581,2.479,8,2,98.82,3,37,none,none,none,REAL,O=C1CN(C(=O)CC23C[C@H]4C[C@H](C2)CC(C(=O)N2CC(=O)Nc5ccccc52)(C4)C3)c2ccccc2N1
ZINC000408730039_T4,ZINC000408730039,-9.8,0.265,485.538,5.414,5,0,63.68,2,37,low,low,high,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4c5ccccc5ccc4C2=C[C@@H]3c2ccccc2)cc1
ZINC000085392620_T2,ZINC000085392620,-9.8,0.265,493.569,2.8807,9,3,113.77,4,37,none,none,none,ZINC,O=C([C@H]1CC(=O)N(c2nc[nH]n2)C1)N1CCC(c2c[nH]c3ccccc32)(c2c[nH]c3ccccc32)CC1
ZINC000085392620_T3,ZINC000085392620,-9.8,0.265,493.569,2.8807,9,3,113.77,4,37,none,none,none,ZINC,O=C([C@H]1CC(=O)N(c2nc[nH]n2)C1)N1CCC(c2c[nH]c3ccccc32)(c2c[nH]c3ccccc32)CC1
ZINC000004015296_T1,ZINC000004015296,-9.8,0.258,493.477,5.3592,7,0,87.12,1,38,high,high,none,ZINC,O=c1nc2c3cccc4cccc(c(=O)n2c2cc(N5C(=O)c6cccc7cccc(c76)C5=O)ccc12)c43
ZINC000408675934_T2,ZINC000408675934,-9.8,0.258,498.58,4.7753,5,1,66.48,3,38,none,high,none,ZINC,Cc1ccc(NC(=O)c2ccccc2N2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)cc1C
ZINC000408675939_T1,ZINC000408675939,-9.8,0.258,498.58,4.7753,5,1,66.48,3,38,none,high,none,ZINC,Cc1ccc(NC(=O)c2ccccc2N2C(=O)[C@H]3[C@H](C2=O)C2c4ccccc4C3c3ccccc32)cc1C
ZINC000085392737_T1,ZINC000085392737,-9.8,0.251,516.643,5.0852,6,2,72.2,4,39,none,none,none,ZINC,Cc1ccc(N2C[C@@H](C(=O)N3CCC(c4c[nH]c5ccccc54)(c4c[nH]c5ccccc54)CC3)CC2=O)cc1
ZINC000085392752_T1,ZINC000085392752,-9.8,0.245,530.67,5.4291,6,2,72.2,4,40,none,high,none,ZINC,Cc1ccc(N2C[C@H](C(=O)N3CCC(c4c[nH]c5ccccc54)(c4c[nH]c5ccccc54)CC3)CC2=O)c(C)c1
Z3094210447_1,Z3094210447,-9.7,0.359,378.361,2.6077,8,1,88.41,4,27,none,none,low,REAL,Cn1c(-c2nnn[nH]2)nnc1N1CCC(c2ccc(C(F)(F)F)cc2)CC1
Z2718650933_1_T2,Z2718650933,-9.7,0.334,390.438,2.5854,6,1,75.71,2,29,none,none,none,REAL,O=C1Cc2ccc(CC(=O)N3CCC[C@]4(CC(=O)c5ccccc5O4)C3)cc2N1
Z1375391167_1_T1,Z1375391167,-9.7,0.323,402.5,3.6825,7,1,75.94,2,30,none,none,none,REAL,Cc1ccc(NC(=O)N2CCC[C@]3(CCCc4ccccc43)C2)cc1-n1cnnn1
Z1883396970_1_T1,Z1883396970,-9.7,0.323,437.333,3.3363,6,1,58.35,2,30,none,none,none,REAL,Clc1cc(Cl)cc(-c2nnc3ccc(N4CC[C@]5(CNc6ccccc65)C4)nn23)c1
