Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000001862466_T1,ZINC000001862466,-14.2,0.406,455.468,5.9223,5,0,65.49,35,1,high,high,none,ZINC,Cc1nc(-c2cc3c(ccc4ccccc43)oc2=O)cc2c1c(=O)oc1ccc3ccccc3c12
ZINC000409336230_T1,ZINC000409336230,-14.2,0.374,499.565,5.7579,5,0,63.68,38,2,high,high,high,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4ccc5ccccc5c4C2=C[C@H]3c2ccccc2)cc1C
ZINC000409337259_T1,ZINC000409337259,-14.2,0.374,499.565,5.7579,5,0,63.68,38,2,high,high,high,ZINC,Cc1ccc(N2C(=O)[C@H]3[C@H](C2=O)[C@@H]2C(=O)Oc4ccc5ccccc5c4C2=C[C@H]3c2ccccc2)c(C)c1
ZINC000002832254_T1,ZINC000002832254,-14.1,0.403,473.507,5.1185,5,0,93.73,35,2,high,high,none,ZINC,O=c1oc2ccc3ccccc3c2cc1-c1csc(-c2cc3c(ccc4ccccc43)oc2=O)n1
ZINC000008792389_T1,ZINC000008792389,-14.1,0.392,476.51,5.3121,6,0,58.44,36,2,low,none,none,ZINC,O=C(c1cc2c3ccccc3n3c2c(n1)c1ccccc1c3=O)N1CCN(c2ccccc2F)CC1
ZINC000408732829_T1,ZINC000408732829,-14.1,0.381,485.538,5.414,5,0,63.68,37,2,high,high,high,ZINC,Cc1ccccc1N1C(=O)[C@H]2[C@H](C1=O)[C@@H]1C(=O)Oc3ccc4ccccc4c3C1=C[C@H]2c1ccccc1
ZINC000008792352_T1,ZINC000008792352,-13.9,0.386,492.965,5.8173,6,0,58.44,36,2,low,none,none,ZINC,O=C(c1cc2c3ccccc3n3c2c(n1)c1ccccc1c3=O)N1CCN(c2cccc(Cl)c2)CC1
Z1452691933_2,Z1452691933,-13.8,0.418,445.493,3.8376,6,3,79.46,33,7,none,none,none,REAL,O=C(NC[C@H]1[C@@H]2Cc3ccccc3[C@H]12)NNC(=O)c1ccccc1OCc1ccc(F)cc1
Z46127396_3_T1,Z46127396,-13.8,0.406,448.477,3.299,6,0,74.76,34,2,none,none,high,REAL,CN1C(=O)/C(=C\c2cccc(/C=C3\C(=O)N(C)C(=O)c4ccccc43)c2)c2ccccc2C1=O
Z318134014_1_T1,Z318134014,-13.8,0.394,470.499,5.198,6,0,66.92,35,3,none,none,none,REAL,Cc1c(-c2ccccc2)oc2c(C(=O)N3CCN(C(=O)c4ccc(F)cc4)CC3)cccc2c1=O
ZINC000408978119_T1,ZINC000408978119,-13.8,0.363,495.493,5.4391,7,0,89.46,38,4,low,low,none,ZINC,O=C(Oc1ccc2nc3c4ccccc4c4ccccc4c3nc2c1)c1ccc(N2C(=O)C=CC2=O)cc1
ZINC000001641985_T1,ZINC000001641985,-13.7,0.381,495.929,2.9679,9,3,104.92,36,2,high,high,none,ZINC,O=C1C(/C=C/c2ccc(Cl)cc2)=NN[C@@H]2N1N=C1N=C(O)C3(NN12)c1ccccc1-c1ccccc13
ZINC000005955034_T1,ZINC000005955034,-13.7,0.381,495.929,3.0615,9,3,101.43,36,2,high,high,none,ZINC,O=C1NC2=NN3C(=O)C(/C=C\c4ccc(Cl)cc4)=NN[C@H]3N2NC12c1ccccc1-c1ccccc12
ZINC000012847889_T4,ZINC000012847889,-13.6,0.412,436.51,4.798,5,1,66.48,33,3,high,high,none,ZINC,O=C(CN1C(=O)N[C@@]2(CCCCc3ccccc32)C1=O)c1ccc2c(c1)-c1ccccc1C2
ZINC000002154274_T1,ZINC000002154274,-13.6,0.4,444.445,4.8394,6,0,76.04,34,2,none,none,none,ZINC,O=c1oc(-c2cccc(-n3c(=O)c4ccccc4c4ccccc4c3=O)c2)nc2ccccc21
Z804195986_4_T1,Z804195986,-13.6,0.389,493.435,3.1666,7,0,70.81,35,4,none,none,none,REAL,O=C([C@H]1CC(=O)N(c2cc(F)cc(F)c2)C1)N1CCC[C@@H](c2nnc3ccc(C(F)(F)F)cn23)C1
ZINC000008792406_T1,ZINC000008792406,-13.6,0.378,476.51,5.3121,6,0,58.44,36,2,low,none,none,ZINC,O=C(c1cc2c3ccccc3n3c2c(n1)c1ccccc1c3=O)N1CCN(c2ccc(F)cc2)CC1
ZINC000104480048_T2,ZINC000104480048,-13.6,0.378,490.945,5.72,5,1,76.13,36,3,none,none,none,ZINC,O=C(NC1=CC=C[C@H]2C(=O)c3ccccc3C(=O)[C@H]12)c1cc(-c2ccccc2Cl)nc2ccccc21
Z1022496460_1_T1,Z1022496460,-13.6,0.368,495.621,4.2013,6,1,69.72,37,4,none,none,none,REAL,O=C(NCC(=O)N1CCc2ccccc2C1)[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1ccc2ccccc2c1
ZINC000100505727_T16,ZINC000100505727,-13.6,0.368,488.542,3.5099,6,0,74.76,37,2,high,high,high,ZINC,O=C1[C@@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C(=O)N1c1ccc2c(c1)-c1cc(N3C(=O)[C@H]4[C@H]5C=C[C@H](C5)[C@@H]4C3=O)ccc1C2
Z1081123722_1_T1,Z1081123722,-13.5,0.466,380.406,5.3283,6,1,80.91,29,3,none,high,none,REAL,Cc1nonc1NC(=O)c1cc(-c2cccc3ccccc23)nc2ccccc12
ZINC000003206809_T1,ZINC000003206809,-13.5,0.409,428.446,5.53,5,0,69.03,33,4,none,none,none,ZINC,O=C(c1ccccc1)c1ccc(C(=O)n2nc3c4c2cccc4C(=O)c2ccccc2-3)cc1
Z26978198_1_T1,Z26978198,-13.5,0.397,452.509,5.0972,6,0,66.92,34,3,none,none,none,REAL,Cc1c(-c2ccccc2)oc2c(C(=O)N3CCN(C(=O)c4ccccc4)CC3)cccc2c1=O
Z25741554_1_T2,Z25741554,-13.5,0.386,465.464,3.302,8,2,112.65,35,3,high,none,none,REAL,O=C(CN1C(=O)N[C@]2(CCc3ccccc32)C1=O)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O
ZINC000008445573_T1,ZINC000008445573,-13.5,0.375,473.483,3.8285,6,0,80.75,36,2,high,high,high,ZINC,O=C1c2ccccc2C(=O)C12O[C@@H](c1ccccc1)[C@H]1C(=O)N(c3cccc4ccccc43)C(=O)[C@H]12
Z996489826_1_T1,Z996489826,-13.5,0.375,482.582,4.6542,7,1,72.96,36,3,none,none,none,REAL,Cn1c(=O)n(C)c2cc(NC(=O)[C@@H]3C[C@@H]4CCCC[C@@H]4N3C(=O)c3ccc4ccccc4c3)ccc21
ZINC000014540821_T1,ZINC000014540821,-13.5,0.375,479.578,4.2109,6,1,73.48,36,3,none,none,none,ZINC,CC(=O)c1cccc(-c2cc3c(n(C)c2=O)CCN(C(=O)c2ccc4[nH]c5c(c4c2)CCCC5)C3)c1
Z787516708_1_T1,Z787516708,-13.5,0.365,495.581,4.084,8,1,89.61,37,3,none,high,none,REAL,O=C(c1ccc2[nH]cnc2c1)N1CCN(C(=O)[C@@H]2CCCN(C(=O)c3cccc4ccccc34)C2)CC1
Z1544359640_1_T1,Z1544359640,-13.4,0.432,410.476,3.9523,6,2,88.32,31,3,none,high,none,REAL,NC(=O)N[C@@H]1CCN(C(=O)c2cc(-c3cccc4ccccc34)nc3ccccc23)C1
Z973902086_1_T1,Z973902086,-13.4,0.406,457.513,3.8946,8,3,124.69,33,4,none,none,none,REAL,Cc1n[nH]c(NC(=O)c2ccc(NC3=NS(=O)(=O)c4ccccc43)cc2)c1-c1ccccc1
Z50157029_1_T1,Z50157029,-13.4,0.406,453.477,4.3923,7,0,111.4,33,2,low,low,low,REAL,Cc1cc(-c2nnc(-c3ccc4c(c3)S(=O)(=O)c3ccccc3C4=O)o2)c2ccccc2n1
Z1643756379_1_T1,Z1643756379,-13.4,0.406,441.529,4.3422,6,1,61.88,33,3,none,high,none,REAL,Cc1c(NC(=O)N2CC=C(c3cccc4ccccc34)C2)cccc1C(=O)N1CCOCC1
ZINC000002776613_T1,ZINC000002776613,-13.4,0.394,458.442,4.9435,5,0,50.5,34,3,none,high,none,ZINC,O=C(c1cnn2c1nc(-c1cccc3ccccc31)cc2C(F)(F)F)N1CCc2ccccc21
Z1014397762_12_T1,Z1014397762,-13.4,0.383,469.583,3.9764,6,2,78.51,35,3,none,none,none,REAL,O=C(N[C@H]1CCCc2[nH]c(=O)ccc21)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1
ZINC000014814843_T1,ZINC000014814843,-13.4,0.383,462.508,5.0487,7,0,75.63,35,2,low,none,none,ZINC,Cc1c(=O)c2cccc(C(=O)N3CCN(C)c4nc5ccccc5nc43)c2oc1-c1ccccc1
Z996016390_3_T1,Z996016390,-13.4,0.372,480.57,4.2884,8,1,93.01,36,4,none,none,none,REAL,Cc1ccc(NC(=O)[C@@H]2C[C@H]3CCCC[C@@H]3N2C(=O)c2ccc3ccccc3c2)cc1-n1cnnn1
Z119679586_1_T1,Z119679586,-13.4,0.372,479.535,4.2507,7,0,71.97,36,3,none,none,none,REAL,O=C([C@@H]1CN(C(=O)c2cc(-c3ccccc3)nc3ccccc23)c2ccccc2O1)N1CCOCC1
ZINC000247726752_T1,ZINC000247726752,-13.4,0.372,478.569,5.3176,5,1,50.16,36,5,high,high,none,ZINC,O=C(Nc1cccc2ccccc21)[C@@H]1CCCN(Cc2nc3ccccc3n2-c2ccc(F)cc2)C1
Z1014525870_1_T1,Z1014525870,-13.4,0.362,493.609,5.0504,7,1,80.12,37,5,none,none,none,REAL,Cc1nccn1-c1ncccc1CNC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1ccc2ccccc2c1
Z1014421792_6_T1,Z1014421792,-13.4,0.362,496.609,4.2357,7,0,73.82,37,3,none,none,none,REAL,O=C(c1ccccn1)N1CCN(C(=O)[C@H]2C[C@@H]3CCCC[C@H]3N2C(=O)c2ccc3ccccc3c2)CC1
ZINC000004551929_T1,ZINC000004551929,-13.4,0.312,556.632,5.4547,8,0,86.16,43,6,none,none,low,ZINC,c1ccc(-c2cc(-c3ccccc3)n3nc(Cc4nc5nc(-c6ccccc6)cc(-c6ccccc6)n5n4)nc3n2)cc1
Z2154388204_1_T1,Z2154388204,-13.3,0.429,418.402,3.4627,6,1,67.23,31,3,none,none,none,REAL,Cc1cc(N2C(=O)N[C@H](c3ccc4ccccc4c3)C2=O)nn1-c1ccc(F)cc1F
Z1552767584_1_T2,Z1552767584,-13.3,0.429,420.418,4.4059,6,3,86.88,31,4,none,none,none,REAL,Cc1cccc(C(=O)Nc2ccc3[nH]nc(NC(=O)c4cccc(C)c4F)c3c2)c1F
Z1538962334_1_T1,Z1538962334,-13.3,0.429,408.504,4.3688,5,1,52.23,31,3,high,high,none,REAL,O=C(c1ccc2c(c1)-c1ccccc1C2)N1CCN(Cc2nc3ccccc3[nH]2)CC1
Z1312691764_1_T3,Z1312691764,-13.3,0.403,441.49,3.1508,8,2,99.82,33,4,none,none,none,REAL,CCn1c2ccccc2c2cc(CN(C)C(=O)c3cc(C)c4c(=O)[nH]c(O)nc4n3)ccc21
ZINC000027496395_T1,ZINC000027496395,-13.3,0.403,429.43,5.6972,5,1,80.31,33,2,high,high,none,ZINC,O=C(Nc1cccc2c1C(=O)c1ccccc1C2=O)c1cccc2c1C(=O)c1ccccc1-2
Z973899924_1_T1,Z973899924,-13.3,0.391,472.568,4.0678,7,2,103.54,34,4,none,none,none,REAL,Cc1n[nH]c(NC(=O)c2cccc(S(=O)(=O)N3CCCc4ccccc43)c2)c1-c1ccccc1
Z920794266_1_T1,Z920794266,-13.3,0.391,475.568,3.0052,7,1,95.17,34,3,none,high,none,REAL,O=C1CN(S(=O)(=O)c2cccc(C(=O)N3CC=C(c4cccc5ccccc45)CC3)c2)CCN1
ZINC000239125204_T2,ZINC000239125204,-13.3,0.38,464.563,5.4307,5,1,66.48,35,4,none,none,none,ZINC,Cc1cc(C)cc(NC(=O)c2cccc(N3C(=O)[C@@H]4[C@@H]5C[C@@H]([C@H]4C3=O)[C@@H](c3ccccc3)C5)c2)c1
Z415220808_1_T1,Z415220808,-13.3,0.38,481.575,5.0171,6,0,78.96,35,2,high,high,none,REAL,O=C(c1cc2ccccc2c2cccnc12)N1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1
Z364958852_1_T1,Z364958852,-13.3,0.38,483.591,4.9905,6,0,78.96,35,2,high,high,none,REAL,Cc1cnc2c(S(=O)(=O)N3CCN(C(=O)c4ccc5c(c4)-c4ccccc4C5)CC3)cccc2c1
Z146971088_1_T2,Z146971088,-13.3,0.38,459.504,4.0158,6,2,78.51,35,4,high,high,none,REAL,O=C(NN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O)c1ccc2c(c1)-c1ccccc1C2
ZINC000017194074_T2,ZINC000017194074,-13.3,0.38,466.452,2.8157,9,3,125.96,35,4,none,none,none,ZINC,Cc1c(=O)c2cccc(C(=O)NNC(=O)c3n[nH]c(=O)c4ccccc43)c2oc1-c1ccccc1
Z996175024_1_T1,Z996175024,-13.3,0.369,479.582,4.7115,7,1,80.12,36,5,none,none,none,REAL,O=C(Nc1ncn(Cc2ccccc2)n1)[C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1ccc2ccccc2c1
Z1014668582_8_T1,Z1014668582,-13.3,0.369,483.566,3.6455,7,2,87.74,36,4,none,none,none,REAL,O=C(NNC(=O)[C@H]1C[C@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1)[C@@H]1Cc2ccccc2O1
Z995695182_6_T2,Z995695182,-13.3,0.359,494.593,3.8218,7,1,82.08,37,4,none,none,none,REAL,CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1
Z976477790_1_T8,Z976477790,-13.2,0.44,401.425,2.2459,8,2,98.4,30,3,none,none,none,REAL,Cn1c(=O)[nH]c(=O)c2[nH]c(CCC(=O)N3Cc4ccccc4-c4ccccc43)nc21
Z1663786498_1_T1,Z1663786498,-13.2,0.426,412.456,2.5293,9,0,98.13,31,3,none,none,none,REAL,Cc1cc(-c2nnc(C3CCN(c4ccc5nncn5n4)CC3)o2)c2ccccc2n1
Z1435566693_1_T1,Z1435566693,-13.2,0.412,423.471,4.4251,6,0,62.74,32,2,none,high,none,REAL,O=C(c1cc(-c2cccc3ccccc23)nc2ccccc12)N1CCN2C(=O)OC[C@@H]2C1
Z1435566693_2_T1,Z1435566693,-13.2,0.412,423.471,4.4251,6,0,62.74,32,2,none,high,none,REAL,O=C(c1cc(-c2cccc3ccccc23)nc2ccccc12)N1CCN2C(=O)OC[C@H]2C1
Z1371931188_2_T1,Z1371931188,-13.2,0.412,422.487,4.2816,6,1,65.54,32,2,none,high,none,REAL,O=C(c1cc(-c2cccc3ccccc23)nc2ccccc12)N1CCN2C(=O)NC[C@H]2C1
Z1174754345_1_T1,Z1174754345,-13.2,0.412,430.467,1.814,9,1,104.31,32,3,high,high,none,REAL,O=C([C@@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1)N1CCO[C@H](c2nnn[nH]2)C1
ZINC000012436788_T7,ZINC000012436788,-13.2,0.4,431.446,4.7572,5,1,80.31,33,2,high,high,none,ZINC,O=C(Nc1cccc2c1C(=O)[C@@H]1C=CC=C[C@H]1C2=O)c1cccc2c1C(=O)c1ccccc1-2
ZINC000018117591_T2,ZINC000018117591,-13.2,0.4,431.446,4.7572,5,1,80.31,33,2,high,high,none,ZINC,O=C(Nc1cccc2c1C(=O)[C@H]1C=CC=C[C@@H]1C2=O)c1cccc2c1C(=O)c1ccccc1-2
ZINC000018117591_T7,ZINC000018117591,-13.2,0.4,431.446,4.7572,5,1,80.31,33,2,high,high,none,ZINC,O=C(Nc1cccc2c1C(=O)[C@H]1C=CC=C[C@@H]1C2=O)c1cccc2c1C(=O)c1ccccc1-2
ZINC000100737710_T2,ZINC000100737710,-13.2,0.4,431.446,4.7572,5,1,80.31,33,2,high,high,none,ZINC,O=C(Nc1cccc2c1C(=O)[C@H]1C=CC=C[C@H]1C2=O)c1cccc2c1C(=O)c1ccccc1-2
Z759183910_1_T2,Z759183910,-13.2,0.4,458.541,3.652,7,1,94.75,33,2,high,high,none,REAL,O=C(c1ccc2c(c1)-c1ccccc1C2)N1CCN(S(=O)(=O)c2c[nH]c3ncccc23)CC1
Z62211931_1_T1,Z62211931,-13.2,0.4,476.58,4.788,7,1,128.35,33,2,high,high,none,REAL,O=C(Nc1nc2c(ccc3ccccc32)s1)C1CCN(C2=NS(=O)(=O)c3ccccc32)CC1
Z1371503597_1_T1,Z1371503597,-13.2,0.4,435.526,4.8764,5,1,62.3,33,2,none,high,none,REAL,O=C1CC2(CCN(C(=O)c3cc(-c4cccc5ccccc45)nc4ccccc34)CC2)CN1
Z1264832329_4_T1,Z1264832329,-13.2,0.4,441.529,3.9823,6,1,69.72,33,2,none,high,none,REAL,C[C@H]1CN(C(=O)[C@H]2CCCN(C(=O)c3cccc4ccccc34)C2)c2ccccc2NC1=O
PV-001962762214_2_T1,PV-001962762214,-13.2,0.4,448.497,2.8377,7,3,90.54,33,5,none,high,none,REAL,C[C@@H](c1ccccc1F)N1CCC[C@H](NC(=O)NNC(=O)c2cccc3ccccc23)C1=O
Z335395752_1_T1,Z335395752,-13.2,0.388,453.497,4.1503,7,0,79.81,34,3,none,none,none,REAL,Cc1c(-c2ccccc2)oc2c(C(=O)N3CCN(C(=O)c4ccccn4)CC3)cccc2c1=O
Z225725692_1_T1,Z225725692,-13.2,0.388,450.497,3.9463,7,2,91.4,34,2,none,high,none,REAL,O=C1NC(=O)C2(CCN(C(=O)c3cc(-c4cccc5ccccc45)nc4ccccc34)CC2)N1
Z1175750411_1_T2,Z1175750411,-13.2,0.388,446.513,5.6865,7,2,84.73,34,5,none,high,high,REAL,O=C(NNc1nnc(-c2ccccc2)n1-c1ccccc1)c1c2c(nc3ccccc13)CCC2
Z1003487644_1_T1,Z1003487644,-13.2,0.388,472.568,3.8948,7,1,86.79,34,2,none,none,none,REAL,Cn1c2ccccc2c2cc(S(=O)(=O)N3CCN(C(=O)c4cc5ccccc5[nH]4)CC3)ccc21
Z1000676060_1_T1,Z1000676060,-13.2,0.388,480.587,3.0841,8,1,107.53,34,3,none,none,none,REAL,O=C(N[C@@H]1CCCN(C(=O)c2ccccc2)C1)C1CCN(C2=NS(=O)(=O)c3ccccc32)CC1
Z804767774_1_T1,Z804767774,-13.2,0.377,467.524,3.4,7,1,78.95,35,3,high,high,none,REAL,CNC(=O)[C@@H]1CN(C(=O)[C@@H]2CC(=O)N(c3ccc4c(c3)Cc3ccccc3-4)C2)c2ccccc2O1
Z804767774_3_T1,Z804767774,-13.2,0.377,467.524,3.4,7,1,78.95,35,3,high,high,none,REAL,CNC(=O)[C@@H]1CN(C(=O)[C@H]2CC(=O)N(c3ccc4c(c3)Cc3ccccc3-4)C2)c2ccccc2O1
Z995722280_1_T1,Z995722280,-13.2,0.367,481.55,4.3799,7,1,86.79,36,3,none,none,none,REAL,CN1C(=O)c2ccc(NC(=O)[C@@H]3C[C@@H]4CCCC[C@@H]4N3C(=O)c3ccc4ccccc4c3)cc2C1=O
Z856250978_2_T1,Z856250978,-13.2,0.367,494.52,3.9678,7,0,68.32,36,4,none,none,none,REAL,Cc1ccccc1-n1nc(C(=O)N2CCC[C@@H](c3nnc4ccc(C(F)(F)F)cn34)C2)c2c1CCC2
Z810428734_1_T1,Z810428734,-13.2,0.367,481.55,5.0551,7,1,88.6,36,4,none,none,none,REAL,Cc1cccc(NC(=O)[C@@H]2CCCN(C(=O)c3cccc4c(=O)c(C)c(-c5ccccc5)oc34)C2)n1
Z407583046_2_T1,Z407583046,-13.2,0.367,498.483,3.7247,7,0,68.32,36,4,none,none,none,REAL,O=C(c1nn(-c2ccccc2F)c2c1CCC2)N1CCC[C@@H](c2nnc3ccc(C(F)(F)F)cn23)C1
Z286720458_1_T1,Z286720458,-13.2,0.367,477.531,3.387,10,1,105.61,36,3,none,none,none,REAL,Cc1nc2ccccc2c2c(NC(=O)C3CCN(c4ccc5nnnn5n4)CC3)c3ccccc3n12
Z112684214_2_T1,Z112684214,-13.2,0.367,482.491,3.901,8,1,102.01,36,5,none,none,none,REAL,Cc1c(-c2ccccc2)oc2c(C(=O)O[C@@H](C)C(=O)N3CC(=O)Nc4ccccc43)cccc2c1=O
ZINC000003878239_T1,ZINC000003878239,-13.2,0.367,499.542,5.0449,7,1,118.9,36,2,low,none,none,ZINC,CC1(C)Cc2oc3ccc(NS(=O)(=O)c4cccc5c4C(=O)c4ccccc4C5=O)cc3c2C(=O)C1
ZINC000003878239_T2,ZINC000003878239,-13.2,0.367,499.542,5.0449,7,1,118.9,36,2,low,none,none,ZINC,CC1(C)Cc2oc3ccc(NS(=O)(=O)c4cccc5c4C(=O)c4ccccc4C5=O)cc3c2C(=O)C1
ZINC000104480048_T5,ZINC000104480048,-13.2,0.367,490.945,5.72,5,1,76.13,36,3,none,none,none,ZINC,O=C(NC1=CC=C[C@H]2C(=O)c3ccccc3C(=O)[C@H]12)c1cc(-c2ccccc2Cl)nc2ccccc21
