Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1070215962_2_T1,Z1070215962,-11.1,0.326,479.97,2.0486,9,1,95.73,3,34,none,none,none,REAL,O=C1Nc2cc(Cl)ccc2[C@H]1C1CCN(C(=O)C2CCN(c3ccc4nncn4n3)CC2)CC1
ZINC000095474115_T5,ZINC000095474115,-11,0.314,468.52,3.109,10,2,125.18,1,35,none,none,none,ZINC,Cc1nn(-c2ncnc3[nH]cnc32)c2c1[C@@]1(CC(O)=N2)c2cccc3c2N(C1=O)C(C)(C)C[C@@H]3C
ZINC000247703670_T3,ZINC000247703670,-10.9,0.303,479.47,2.5813,8,0,88.4,3,36,high,high,none,ZINC,O=C([C@@H]1[C@H]2C(=O)N(c3ccc(F)cc3)C(=O)[C@H]2[C@H]2C=Cc3ccccc3N21)n1nnc2ccccc21
ZINC000009635898_T1,ZINC000009635898,-10.9,0.295,488.56,5.8954,4,2,58.2,4,37,none,none,none,ZINC,O=C(c1ccccc1)c1ccc2c(c1)NC1=C(C(=O)C[C@@H](c3ccccc3)C1)[C@H](c1ccc(F)cc1)N2
ZINC000018180685_T2,ZINC000018180685,-10.9,0.295,487.51,4.1724,6,0,80.75,2,37,high,high,high,ZINC,Cc1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@H](c2cccc4ccccc42)OC32C(=O)c3ccccc3C2=O)cc1
ZINC000226838254_T2,ZINC000226838254,-10.9,0.295,484.554,4.0454,5,1,66.48,3,37,high,high,high,ZINC,CC(=O)[C@@H]1[C@H](C(=O)c2ccccc2)[C@@]2(C(=O)Nc3ccccc32)[C@@H]2C=Cc3c4ccccc4ccc3N21
ZINC000008921457_T1,ZINC000008921457,-10.9,0.287,498.537,2.0261,6,2,86.71,2,38,high,high,low,ZINC,O=C(NN1C(=O)[C@H]2[C@H](C1=O)C1c3ccccc3C2c2ccccc21)C1(O)c2ccccc2-c2ccccc21
ZINC000000629962_T2,ZINC000000629962,-10.8,0.386,365.431,3.2715,3,0,37.38,1,28,none,none,none,ZINC,C[C@@]12C(=O)N(c3ccccc3)C(=O)[C@H]1C1c3ccccc3C2c2ccccc21
ZINC000000842017_T3,ZINC000000842017,-10.8,0.386,369.394,3.0408,3,0,37.38,1,28,none,none,none,ZINC,O=C1[C@@H]2[C@@H](C(=O)N1c1ccc(F)cc1)C1c3ccccc3C2c2ccccc21
ZINC000239439106_T4,ZINC000239439106,-10.8,0.338,434.397,2.0148,6,0,74.76,2,32,none,none,high,ZINC,O=C1[C@H]2[C@H](C(=O)N1c1ccc(F)cc1)[C@H]1C=C[C@@H]2[C@H]2C(=O)N(c3ccc(F)cc3)C(=O)[C@H]21
Z1374246659_2_T1,Z1374246659,-10.8,0.338,431.542,3.0606,8,0,79.52,2,32,none,none,none,REAL,O=C(C1CCN(c2ccc3nnnn3n2)CC1)N1CCC[C@@]2(CCCc3ccccc32)C1
ZINC000409131371_T1,ZINC000409131371,-10.8,0.318,464.504,5.627,7,2,119.64,3,34,high,high,none,ZINC,O=C(Nc1ccc2nc(N3C(=O)c4ccccc4C3=O)sc2c1)Nc1cccc2ccccc21
ZINC000247802733_T2,ZINC000247802733,-10.8,0.3,470.527,4.3696,5,0,57.69,3,36,high,high,none,ZINC,O=C(c1ccccc1)[C@@H]1[C@@H]2C(=O)N(c3ccccc3)C(=O)[C@H]2[C@H]2C=Cc3c4ccccc4ccc3N21
ZINC000095477514_T5,ZINC000095477514,-10.8,0.292,494.489,2.7382,10,2,125.18,3,37,none,none,none,ZINC,Cc1nn(-c2ncnc3[nH]cnc32)c2c1[C@]1(CC(O)=N2)C(=O)N(Cc2ccc(F)cc2)c2ccccc21
