Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z996744910_1_T1,Z996744910,-9,0.243,494.593,4.5778,7,1,76.72,3,37,none,high,low,REAL,O=C(c1cc2ccccc2[nH]1)N1CCN(C(=O)C2CCN(C(=O)c3cccc4ccccc34)CC2)CC1
Z743656142_4,Z743656142,-8.8,0.314,389.446,2.1573,7,1,90.93,10,28,none,none,none,REAL,COC(=O)COc1cccc(C(=O)OCC(=O)N[C@@H](C)[C@H]2C[C@@H]3CC[C@@H]2C3)c1
Z402807448_2_T1,Z402807448,-8.6,0.253,450.54,4.9855,6,0,62.47,4,34,high,high,none,REAL,C[C@@H](c1nc(-c2ccccc2)no1)N1CCN(C(=O)c2ccc3c(c2)-c2ccccc2C3)CC1
Z1025324518_1_T1,Z1025324518,-8.6,0.253,455.56,2.2302,7,2,77.57,5,34,none,none,none,REAL,O=C(NCC(=O)N1CCc2ccccc2C1)NCc1ccc(N2CCc3ccccc3C2)nc1
Z1458999179_34_T1,Z1458999179,-8.6,0.253,448.564,5.509,4,2,58.2,6,34,none,none,none,REAL,O=C(NC[C@@H]1[C@H]2Cc3ccccc3[C@@H]12)c1cccc(C(=O)NC[C@@H]2[C@H]3Cc4ccccc4[C@@H]23)c1
Z397588902_2_T1,Z397588902,-8.6,0.246,463.536,4.9018,6,0,62.74,3,35,none,none,none,REAL,O=C1O[C@@H](c2ccccc2)Cc2cc(C(=O)N3CCN(c4ccc5ccccc5n4)CC3)ccc21
Z1279860846_1_T1,Z1279860846,-8.5,0.293,390.485,3.4414,6,2,70.25,3,29,none,none,low,REAL,C[C@]1(C(=O)Nc2ccc3[nH]c(N4CCOCC4)nc3c2)CCc2ccccc2C1
Z1685539403_2_T1,Z1685539403,-8.5,0.283,400.481,5.5851,6,0,68.19,3,30,none,none,none,REAL,c1ccc2c(c1)CC[C@H](c1noc(C3CCN(c4nc5ccccc5o4)CC3)n1)C2
PV-001952969357_1_T1,PV-001952969357,-8.5,0.258,441.573,4.7602,5,2,61.44,5,33,none,none,none,REAL,Cc1ccc(CNC(=O)c2cccc(CNC(=O)N3CCCc4ccccc4CC3)c2)cc1
Z2174896855_3_T1,Z2174896855,-8.5,0.258,439.51,4.9827,5,0,55.84,2,33,none,none,none,REAL,O=C1O[C@H](c2ccccc2)Cc2cc(C(=O)N3CC[C@@]4(CCc5ccccc5O4)C3)ccc21
Z230413636_1_T1,Z230413636,-8.5,0.25,450.54,5.0427,6,0,62.47,4,34,high,high,none,REAL,Cc1ccc(-c2noc(CN3CCN(C(=O)c4ccc5c(c4)-c4ccccc4C5)CC3)n2)cc1
Z1458999179_32_T1,Z1458999179,-8.5,0.25,448.564,5.509,4,2,58.2,6,34,none,none,none,REAL,O=C(NC[C@@H]1[C@H]2Cc3ccccc3[C@@H]12)c1cccc(C(=O)NC[C@H]2[C@@H]3Cc4ccccc4[C@@H]23)c1
Z1095050508_1_T2,Z1095050508,-8.5,0.243,488.502,3.3964,9,3,138.11,5,35,none,none,low,REAL,O=C(Nc1nc(-c2ccc3ccccc3n2)n[nH]1)c1cccc(S(=O)(=O)Nc2ccccc2F)c1
ZINC000408976120_T1,ZINC000408976120,-8.5,0.243,451.488,5.5105,6,1,80.66,2,35,high,high,none,ZINC,O=C(Nc1cccc2ccccc21)c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1
