Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1069483432_1_T2,Z1069483432,-13.5,0.386,466.535,4.5261,6,1,75.71,3,35,high,high,none,REAL,C[C@@H]1Oc2ccc(C(=O)C3CCN(C(=O)c4ccc5c(c4)-c4ccccc4C5)CC3)cc2NC1=O
Z1148472724_14_T1,Z1148472724,-13.5,0.365,497.641,5.376,7,0,71.33,3,37,none,none,none,REAL,O=C([C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1)N1CCC[C@@H](c2nnc3n2CCC3)C1
Z132917174_2_T2,Z132917174,-13.4,0.394,467.875,2.7359,9,1,105.38,3,34,none,none,none,REAL,O=C1/C(=C\Nc2nc3ccccc3n3nnnc23)c2ccccc2C(=O)N1c1ccccc1Cl
Z132917174_1_T2,Z132917174,-13.4,0.394,467.875,2.7359,9,1,105.38,3,34,none,none,none,REAL,O=C1/C(=C/Nc2nc3ccccc3n3nnnc23)c2ccccc2C(=O)N1c1ccccc1Cl
Z132917176_1_T2,Z132917176,-13.2,0.388,447.457,2.4738,9,1,105.38,3,34,none,none,none,REAL,Cc1ccc(N2C(=O)/C(=C/Nc3nc4ccccc4n4nnnc34)c3ccccc3C2=O)cc1
Z132917176_2_T2,Z132917176,-13.2,0.388,447.457,2.4738,9,1,105.38,3,34,none,none,none,REAL,Cc1ccc(N2C(=O)/C(=C\Nc3nc4ccccc4n4nnnc34)c3ccccc3C2=O)cc1
Z2902586015_2_T1,Z2902586015,-13.2,0.357,492.538,2.0059,9,0,106.49,4,37,none,none,high,REAL,Cc1cc(C)n2ncc(-c3noc(C4[C@H]5[C@@H]6C=C[C@H]([C@H]7C(=O)N(Cc8ccccc8)C(=O)[C@@H]67)[C@H]45)n3)c2n1
Z228329578_3,Z228329578,-13.1,0.452,394.557,3.6278,4,1,49.41,4,29,none,none,none,REAL,Cc1ccc(C23C[C@H]4C[C@@H](CC(C(=O)NCC(=O)N5CCCC5)(C4)C2)C3)cc1C
Z804205998_1_T1,Z804205998,-13.1,0.374,469.496,3.0474,8,2,96.97,4,35,high,high,none,REAL,O=C(NNC(=O)[C@@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1)c1ccc2c(c1)OCCO2
Z2155695547_1020,Z2155695547,-13,0.433,402.453,2.7046,7,2,97.12,3,30,none,none,none,REAL,C[C@@]1(c2ccc(-c3noc([C@H]4[C@@H]5[C@H]6C[C@H]7[C@H]8[C@H]6C[C@H]5[C@H]8[C@H]74)n3)cc2)NC(=O)NC1=O
Z1147907130_6_T1,Z1147907130,-13,0.361,480.57,3.5434,8,1,93.01,5,36,none,none,none,REAL,O=C(NCc1nnnn1-c1ccccc1)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1
Z1132505833_26_T1,Z1132505833,-12.9,0.461,385.506,4.1919,6,3,79.46,5,28,high,high,none,REAL,CC(C)(C)OC(=O)Nc1ccc(NC(=O)N[C@H]2C[C@@H]3C[C@@H]2[C@H]2CCC[C@H]32)cc1
Z2155695080_320_T1,Z2155695080,-12.9,0.43,402.409,1.1569,8,2,114.19,3,30,none,none,none,REAL,C[C@@]1(c2ccc(-c3noc([C@@]45[C@H]6C(=O)[C@H]7[C@H]8C[C@@H]([C@@H]74)[C@@H]5[C@H]86)n3)cc2)NC(=O)NC1=O
Z2167485420_1_T1,Z2167485420,-12.9,0.416,409.496,3.7883,7,0,64.14,3,31,none,none,none,REAL,Cn1c(-c2ccc3ccccc3c2)nnc1N1CCC(c2nnc3ccccn23)CC1
Z805712270_1_T1,Z805712270,-12.9,0.369,465.508,4.5002,7,0,85.53,6,35,high,high,none,REAL,Cc1ccc(-c2nnc(COC(=O)[C@@H]3CC(=O)N(c4ccc5c(c4)Cc4ccccc4-5)C3)o2)cc1
ZINC000039754055_T1,ZINC000039754055,-12.9,0.391,434.454,5.3436,7,2,97.12,5,33,none,high,none,ZINC,O=C(Nc1nnc(-c2ccccc2)o1)c1ccccc1NC(=O)c1cccc2ccccc21
Z1983290694_31_T1,Z1983290694,-12.8,0.441,392.458,2.2831,7,1,88.33,4,29,high,none,none,REAL,O=C1N[C@]2(C[C@H]3C[C@H]2[C@H]2CCC[C@H]32)C(=O)N1Cc1nc(Cc2ccccc2)no1
Z2155695547_822,Z2155695547,-12.8,0.427,402.453,2.7046,7,2,97.12,3,30,none,none,none,REAL,C[C@@]1(c2ccc(-c3noc([C@@H]4[C@H]5[C@@H]6C[C@H]7[C@H]8[C@@H]6C[C@@H]5[C@H]8[C@H]74)n3)cc2)NC(=O)NC1=O
Z2086931081_3,Z2086931081,-12.8,0.427,407.444,3.4818,6,2,78.51,3,30,none,none,none,REAL,O=C1CCc2cc(F)c(N3C(=O)N[C@H](C[C@H]4CCCc5ccccc54)C3=O)cc2N1
Z2002423492_37,Z2002423492,-12.8,0.4,425.483,3.177,5,0,63.68,4,32,none,none,none,REAL,O=C1[C@@H]2[C@@H]3C[C@H]4[C@@H]2[C@]2(C(=O)Oc5cccc(C(=O)N6CCc7ccccc7C6)c5)[C@H]1[C@@H]3[C@@H]42
Z2003308006_4_T1,Z2003308006,-12.8,0.4,446.573,4.2992,6,1,85.94,3,32,none,none,none,REAL,O=C(Nc1ccc2nc(N3CCOCC3)sc2c1)N1[C@H]2C=C(c3ccccc3)C[C@H]1CC2
Z2175361627_23_T1,Z2175361627,-12.8,0.388,443.506,2.1162,8,1,97.19,4,33,none,none,high,REAL,O=C(Nc1nnc2n1CCCC2)C1[C@H]2[C@@H]3C=C[C@H]([C@@H]4C(=O)N(Cc5ccccc5)C(=O)[C@H]34)[C@@H]12
Z2902742501_1_T1,Z2902742501,-12.8,0.388,461.541,4.2578,7,0,101.75,4,33,none,high,none,REAL,CS(=O)(=O)c1ccc(-c2noc(C3CCN(C(=O)c4cccc5ccccc45)CC3)n2)cc1
Z29402875_1_T1,Z29402875,-12.8,0.366,488.567,3.094,8,0,98.74,2,35,none,none,none,REAL,O=C(c1ccc2c(=O)n3c(nc2c1)CCC3)N1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1
Z847630838_1_T2,Z847630838,-12.8,0.346,498.509,3.5356,7,1,92.78,6,37,high,high,none,REAL,O=C1CCc2cc(C(=O)COC(=O)[C@@H]3CC(=O)N(c4ccc5c(c4)Cc4ccccc4-5)C3)c(F)cc2N1
Z1022496460_5_T1,Z1022496460,-12.8,0.346,495.621,4.2013,6,1,69.72,4,37,none,none,none,REAL,O=C(NCC(=O)N1CCc2ccccc2C1)[C@@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1
ZINC000002776613_T1,ZINC000002776613,-12.8,0.376,458.442,4.9435,5,0,50.5,3,34,none,high,none,ZINC,O=C(c1cnn2c1nc(-c1cccc3ccccc31)cc2C(F)(F)F)N1CCc2ccccc21
Z2476204090_24_T1,Z2476204090,-12.7,0.438,393.402,0.9192,9,3,126.22,3,29,none,none,none,REAL,C[C@@]1(c2ccc(-c3noc([C@@]45C[C@H]6C[C@H](C(=O)N4)[C@H]5C6)n3)cc2)NC(=O)NC1=O
Z2155695080_194_T1,Z2155695080,-12.7,0.423,402.409,1.1569,8,2,114.19,3,30,none,none,none,REAL,C[C@@]1(c2ccc(-c3noc([C@]45[C@@H]6C(=O)[C@@H]7[C@@H]8C[C@H]([C@H]74)[C@H]5[C@@H]86)n3)cc2)NC(=O)NC1=O
PV-001886592355_1_T3,PV-001886592355,-12.7,0.423,411.411,3.1946,7,2,90.98,4,30,none,none,low,REAL,Cc1cccc(C(=O)N2CCC[C@@H]2C(=O)Nc2nc(-c3c(F)cccc3F)n[nH]2)c1
Z2166948166_1_T1,Z2166948166,-12.7,0.41,414.515,3.7961,8,0,77.55,3,31,none,none,none,REAL,Cn1c(-c2ccc3ccccc3n2)nnc1N1CCC(c2nnc3n2CCCC3)CC1
Z1682390335_2_T5,Z1682390335,-12.7,0.397,438.486,2.5376,10,2,120.67,3,32,none,none,none,REAL,C[C@@]1(c2ccc(-c3noc(C4CCN(C(=O)N5CCCC5)CC4)n3)cc2)NC(=O)NC1=O
Z1014360770_6_T1,Z1014360770,-12.7,0.374,459.588,4.0569,6,0,60.93,3,34,none,none,none,REAL,O=C(C1CC1)N1CCN(C(=O)[C@H]2C[C@@H]3CCCC[C@H]3N2C(=O)c2ccc3ccccc3c2)CC1
Z735270840_1_T3,Z735270840,-12.7,0.363,467.524,3.1634,7,1,78.95,4,35,none,none,none,REAL,Cc1ccc(N2C(=O)/C(=C/Nc3cccc(C(=O)N4CCOCC4)c3)c3ccccc3C2=O)cc1
Z1014269000_5_T1,Z1014269000,-12.7,0.353,481.594,4.5164,6,1,69.72,4,36,none,none,none,REAL,O=C(NCC(=O)N1CCc2ccccc21)[C@@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccc2ccccc2c1
Z847630072_1_T2,Z847630072,-12.7,0.353,482.491,2.8458,8,1,102.01,6,36,high,high,none,REAL,O=C1COc2ccc(C(=O)COC(=O)[C@@H]3CC(=O)N(c4ccc5c(c4)Cc4ccccc4-5)C3)cc2N1
