Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1162537090_2_T2,Z1162537090,-9.1,0.276,436.47,3.4391,7,2,90.87,2,33,high,high,none,REAL,O=C(Nc1nc2ccccc2c(=O)[nH]1)[C@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1
ZINC000101094105_T14,ZINC000101094105,-9,0.265,444.485,5.6252,4,0,68.28,0,34,none,none,none,ZINC,O=C1c2cc3ccccc3cc2C(=O)[C@@H]2C[C@@H]3C(=O)c4cc5ccccc5cc4C(=O)[C@@H]3C[C@@H]12
Z2087363989_1_T1,Z2087363989,-8.9,0.278,420.427,4.1709,7,1,88.33,3,32,high,none,none,REAL,O=C1N[C@H](c2ccc3ccccc3c2)C(=O)N1c1cc(-c2ccc3ncccc3c2)on1
ZINC000001717023_T1,ZINC000001717023,-8.9,0.278,417.419,5.4779,5,0,63.68,1,32,none,none,none,ZINC,O=c1oc2ccc(-n3c(=O)c4ccccc4c4ccccc4c3=O)cc2c2ccccc12
ZINC000001588362_T1,ZINC000001588362,-8.9,0.262,440.509,5.648,6,2,103.6,3,34,none,none,none,ZINC,Nc1nc(-c2ccc3ccccc3c2)cc(-c2cc(-c3ccc4ccccc4c3)nc(N)n2)n1
ZINC000408975892_T1,ZINC000408975892,-8.9,0.247,466.503,5.5044,7,2,92.69,2,36,high,high,none,ZINC,O=C(Nc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1)Nc1cccc2ccccc21
ZINC000409334997_T1,ZINC000409334997,-8.9,0.247,466.503,5.5044,7,2,92.69,2,36,low,high,none,ZINC,O=C(Nc1ccc2ccccc2c1)Nc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1
ZINC000097945321_T1,ZINC000097945321,-8.9,0.222,522.559,4.6865,6,0,76.57,4,40,none,none,none,ZINC,O=C(Oc1cccc2cccnc21)c1cccc(N2C(=O)[C@H]3[C@@H](C2=O)C2c4ccccc4C3c3ccccc32)c1
Z1697483552_3_T2,Z1697483552,-8.8,0.275,423.467,5.0498,5,0,63.68,2,32,none,none,none,REAL,O=C1O[C@H](c2ccccc2)Cc2cc(C(=O)N3C[C@H]4CCC(=O)c5cccc3c54)ccc21
ZINC000006779972_T1,ZINC000006779972,-8.8,0.275,424.542,5.0598,4,1,54.98,2,32,none,high,none,ZINC,Cc1cc2nc(-c3cc4cc(C56CC7CC(CC(C7)C5)C6)ccc4oc3=O)[nH]c2cc1C
ZINC000003845263_T1,ZINC000003845263,-8.8,0.267,444.465,4.8497,4,0,93.58,0,33,high,high,none,ZINC,O=C1c2cccc3cccc(c23)/C1=C1\Sc2ccc3c(c2C1=O)C(=O)c1ccccc1C3=O
Z1766655795_2_T3,Z1766655795,-8.8,0.259,449.513,4.94,7,2,90.98,3,34,none,none,high,REAL,O=C(c1ccc2[nH]c3ccccc3c(=O)c2c1)N1CCC[C@@H](c2n[nH]c(-c3ccccc3)n2)C1
ZINC000100983474_T4,ZINC000100983474,-8.8,0.259,443.505,4.7225,5,0,63.16,3,34,none,none,high,ZINC,O=C1[C@@H]2[C@H]3C=C[C@@H](C3)[C@@H]2C(=O)N1c1ccc(-c2nc(-c3ccccc3)nc3ccccc32)cc1
Z426104010_1_T1,Z426104010,-8.8,0.251,486.522,4.1686,6,1,95.69,2,35,low,low,low,REAL,O=C1c2ccccc2S(=O)(=O)c2cc(C(=O)N3CC=C(c4c[nH]c5cc(F)ccc45)CC3)ccc21
Z804128572_1_T2,Z804128572,-8.8,0.244,496.59,3.552,7,1,110.32,3,36,high,high,none,REAL,O=C(Nn1cnc2sc3c(c2c1=O)CCCC3)[C@@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1
ZINC000408674312_T1,ZINC000408674312,-8.8,0.244,476.574,4.0476,5,0,57.69,2,36,none,none,none,ZINC,CC1CCN(C(=O)c2cccc(N3C(=O)[C@@H]4[C@@H](C3=O)C3c5ccccc5C4c4ccccc43)c2)CC1
ZINC000408674316_T1,ZINC000408674316,-8.8,0.244,476.574,4.0476,5,0,57.69,2,36,none,none,none,ZINC,CC1CCN(C(=O)c2cccc(N3C(=O)[C@H]4[C@@H](C3=O)C3c5ccccc5C4c4ccccc43)c2)CC1
ZINC000003960761_T1,ZINC000003960761,-8.8,0.232,494.64,-2.37,4,2,31.82,0,38,none,none,none,ZINC,c1ccc2c(c1)c1cc[n+]2Cc2cccc(c2)C[n+]2ccc(c3ccccc32)NCc2ccc(cc2)CN1
Z2212498002_1,Z2212498002,-8.7,0.29,400.437,1.7898,7,3,94.3,2,30,none,none,none,REAL,O=C1CNC(=O)c2ccc(C(=O)N3CC=C(c4c[nH]c5ccccc45)CC3)cc2N1
