Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1952918462_1,Z1952918462,-10.8,0.327,436.553,3.6556,4,1,49.41,33,4,none,none,none,REAL,O=C(NCc1ccc2c(c1)CN(C(=O)C1Cc3ccccc3C1)C2)C1Cc2ccccc2C1
Z1038827768_16_T1,Z1038827768,-10.6,0.393,367.491,3.7215,5,1,52.65,27,4,none,none,none,REAL,O=C1NCCN1c1cccc(C(=O)N2CCC[C@H]2C[C@H]2C[C@H]3CC[C@H]2C3)c1
Z2158178895_236_T1,Z2158178895,-10.6,0.342,406.444,3.266,6,1,84.67,31,3,none,none,none,REAL,O=C1[C@H]2[C@H]3C[C@@H]4[C@H]2[C@]2(c5nc(-c6ccc(-c7nc8ccccc8[nH]7)cc6)no5)[C@H]1[C@H]3[C@H]42
PV-001936962679_8_T1,PV-001936962679,-10.5,0.389,412.573,2.9599,6,2,109.1,27,7,high,none,none,REAL,CCCCS(=O)(=O)Nc1ccc(S(=O)(=O)NC[C@H]2C[C@H]3C=C[C@H]2CC3)cc1
Z1589889555_8_T1,Z1589889555,-10.5,0.35,410.516,3.5896,7,2,77.41,30,6,none,none,none,REAL,Cc1cc(NC(=O)Nc2ccc(OC[C@@H]3CCCO3)cc2)n([C@H]2C[C@H]3CC[C@H]2C3)n1
Z358867962_64,Z358867962,-10.5,0.35,415.532,2.1429,7,3,110.52,30,9,none,none,none,REAL,Cc1cccc([C@@H](CC(=O)O[C@@H](C)C(=O)N[C@@H](C)[C@H]2C[C@H]3CC[C@H]2C3)NC(N)=O)c1
Z1443318096_1_T2,Z1443318096,-10.5,0.328,439.4,3.1661,8,1,92.59,32,4,high,high,low,REAL,Cc1nc(C(=O)N2CCc3cc(-c4ccccc4)ccc32)nn1-c1nnc(C(F)(F)F)[nH]1
Z1443318096_1_T3,Z1443318096,-10.5,0.328,439.4,3.1661,8,1,92.59,32,4,high,high,low,REAL,Cc1nc(C(=O)N2CCc3cc(-c4ccccc4)ccc32)nn1-c1nnc(C(F)(F)F)[nH]1
Z1452691933_2,Z1452691933,-10.5,0.318,445.493,3.8376,6,3,79.46,33,7,none,none,none,REAL,O=C(NC[C@H]1[C@@H]2Cc3ccccc3[C@H]12)NNC(=O)c1ccccc1OCc1ccc(F)cc1
Z1095049172_1_T1,Z1095049172,-10.5,0.309,449.473,4.1379,9,4,124.69,34,5,none,none,low,REAL,O=C(Nc1ccccc1)Nc1ccc(C(=O)Nc2nc(-c3ccc4ccccc4n3)n[nH]2)cc1
