Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
ZINC000012436788_T6,ZINC000012436788,-10.8,0.327,431.446,4.7572,5,1,80.31,2,33,high,high,none,ZINC,O=C(Nc1cccc2c1C(=O)[C@@H]1C=CC=C[C@H]1C2=O)c1cccc2c1C(=O)c1ccccc1-2
ZINC000408827077_T1,ZINC000408827077,-10.7,0.334,421.451,4.7739,5,2,83.47,2,32,low,none,none,ZINC,O=C(O)c1ccc([C@@H]2Nc3ccc4c(c3[C@@H]3C=CC[C@@H]32)C(=O)c2ccccc2C4=O)cc1
Z1081850494_1_T1,Z1081850494,-10.7,0.324,495.97,4.8665,8,2,150.03,4,33,none,none,none,REAL,O=C(Nc1nnc(-c2cccc(Cl)c2)s1)c1ccc(NC2=NS(=O)(=O)c3ccccc32)cc1
Z2902585038_1_T1,Z2902585038,-10.7,0.315,471.5,2.7161,10,1,136.02,3,34,none,none,none,REAL,Cc1cc(C)n2ncc(-c3noc(-c4ccc(NC5=NS(=O)(=O)c6ccccc65)cc4)n3)c2n1
ZINC000036610867_T1,ZINC000036610867,-10.7,0.315,446.421,-0.33,8,4,116.4,0,34,none,none,high,ZINC,O=C1Nc2ccccc2/C1=C1\C(=O)Nc2cc3c(cc21)NC(=O)/C3=C1/C(=O)Nc2ccccc21
Z1846549780_1_T2,Z1846549780,-10.6,0.366,387.398,2.6924,8,3,112.91,3,29,none,none,none,REAL,CC1(C)C(=O)Nc2ccc(C(=O)Nc3nnc(-c4cc5ccccc5o4)[nH]3)cc21
Z1766649313_1_T4,Z1766649313,-10.6,0.331,430.413,5.8651,6,3,83.12,3,32,none,none,none,REAL,Cc1cc2ccccc2nc1NNC(=O)c1cc(F)cc2c(=O)c3cc(F)ccc3[nH]c12
ZINC000017094385_T1,ZINC000017094385,-10.6,0.331,425.422,3.752,7,3,91.55,2,32,none,none,none,ZINC,O=c1[nH]c2ccccc2c2c1[C@@H](c1ccc(F)cc1)N/C(=N\c1nc3ccccc3o1)N2
ZINC000100737710_T3,ZINC000100737710,-10.6,0.321,431.446,4.7572,5,1,80.31,2,33,high,high,none,ZINC,O=C(Nc1cccc2c1C(=O)[C@H]1C=CC=C[C@H]1C2=O)c1cccc2c1C(=O)c1ccccc1-2
Z63721304_2_T1,Z63721304,-10.6,0.312,454.441,1.9582,9,3,125.96,4,34,none,low,low,REAL,O=C(NNC(=O)c1n[nH]c(=O)c2ccccc12)c1ccc2c(c1)C[C@H](c1ccccc1)OC2=O
ZINC000245380417_T8,ZINC000245380417,-10.6,0.303,470.567,4.0676,6,0,74.76,3,35,none,high,none,ZINC,Cc1ccc(N2C(=O)C[C@@H]([C@H]3C=C(C)[C@@H]4C(=O)N(c5ccc(C)c(C)c5)C(=O)[C@H]4C3)C2=O)cc1C
ZINC000001225262_T2,ZINC000001225262,-10.6,0.272,553.36,5.7726,8,1,103.44,3,39,none,none,none,ZINC,O=C1c2cccc(Cl)c2C(=O)N1c1ccc(-c2nc3ccc(N4C(=O)c5cccc(Cl)c5C4=O)cc3[nH]2)cc1
Z1449291474_1_T5,Z1449291474,-10.5,0.375,385.369,2.2139,6,2,78.51,2,28,none,none,none,REAL,C[C@]1(c2ccc(C(=O)N3CCc4ccc(F)c(F)c4C3)cc2)NC(=O)NC1=O
Z1766649313_1_T2,Z1766649313,-10.5,0.328,430.413,5.8651,6,3,83.12,3,32,none,none,none,REAL,Cc1cc2ccccc2nc1NNC(=O)c1cc(F)cc2c(=O)c3cc(F)ccc3[nH]c12
ZINC000100737708_T3,ZINC000100737708,-10.5,0.318,431.446,4.7572,5,1,80.31,2,33,high,high,none,ZINC,O=C(Nc1cccc2c1C(=O)[C@@H]1C=CC=C[C@@H]1C2=O)c1cccc2c1C(=O)c1ccccc1-2
ZINC000239302914_T1,ZINC000239302914,-10.5,0.309,452.552,5.5621,5,2,59.59,3,34,none,none,none,ZINC,O=C(Nc1ccc2c(c1)OCCO2)c1ccc2c(c1)[C@H]1[C@@H]([C@H]3CC[C@H]1C3)[C@H](c1ccccc1)N2
ZINC000002935991_T1,ZINC000002935991,-10.5,0.292,480.425,4.9032,6,0,77.32,3,36,high,high,none,ZINC,O=c1oc(-c2cccc(F)c2)nc2ccc(-c3ccc4nc(-c5cccc(F)c5)oc(=O)c4c3)cc21
ZINC000003878239_T2,ZINC000003878239,-10.5,0.292,499.542,5.0449,7,1,118.9,2,36,low,none,none,ZINC,CC1(C)Cc2oc3ccc(NS(=O)(=O)c4cccc5c4C(=O)c4ccccc4C5=O)cc3c2C(=O)C1
ZINC000021867397_T1,ZINC000021867397,-10.5,0.284,496.545,4.3482,8,1,86.86,3,37,none,none,none,ZINC,Cc1cccc(N2CCN(C(=O)c3ccc4c(O)nc5c(-c6ccccc6F)nnn5c4c3)CC2)c1C
Z1618330958_2_T1,Z1618330958,-10.4,0.347,408.388,2.707,8,4,120.42,3,30,none,none,none,REAL,Cc1cc(F)c2nc(O)cc(C(=O)Nc3cccc([C@@]4(C)NC(=O)NC4=O)c3)c2c1
ZINC000059436990_T1,ZINC000059436990,-10.4,0.347,395.432,5.3896,3,1,46.17,1,30,low,none,none,ZINC,O=C1c2ccccc2C(=O)c2c1ccc1c2[C@@H]2C=CC[C@@H]2[C@H](c2ccccc2F)N1
ZINC000408826920_T1,ZINC000408826920,-10.4,0.347,391.469,5.6327,3,1,46.17,1,30,low,none,none,ZINC,Cc1ccc([C@@H]2Nc3ccc4c(c3[C@@H]3C=CC[C@@H]32)C(=O)c2ccccc2C4=O)cc1
ZINC000408831744_T1,ZINC000408831744,-10.4,0.347,411.887,5.8948,3,1,46.17,1,30,low,none,none,ZINC,O=C1c2ccccc2C(=O)c2c1ccc1c2[C@@H]2C=CC[C@@H]2[C@H](c2ccc(Cl)cc2)N1
