Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
PV-001866716609_2_T1,PV-001866716609,-10.2,0.378,408.585,2.3888,5,2,108.95,8,27,none,none,none,REAL,CSCC[C@@H](NS(=O)(=O)c1ccccc1)C(=O)NC[C@@H]1C[C@@H]2C[C@@H]1[C@@H]1C[C@@H]21
Z46616205_2_T1,Z46616205,-10,0.294,490.555,2.7638,6,0,119.18,2,34,none,none,none,REAL,O=C1/C(=C/c2ccc(/C=C3/CS(=O)(=O)c4ccccc4C3=O)cc2)CS(=O)(=O)c2ccccc21
Z46616205_3_T1,Z46616205,-10,0.294,490.555,2.7638,6,0,119.18,2,34,none,none,none,REAL,O=C1/C(=C/c2ccc(/C=C3\CS(=O)(=O)c4ccccc4C3=O)cc2)CS(=O)(=O)c2ccccc21
ZINC000408679811_T4,ZINC000408679811,-10,0.263,498.58,4.7753,5,1,66.48,3,38,none,none,none,ZINC15,Cc1cc(C)cc(NC(=O)c2cccc(N3C(=O)[C@H]4[C@@H](C3=O)C3c5ccccc5C4c4ccccc43)c2)c1
Z2002795192_37_T1,Z2002795192,-9.9,0.367,387.862,2.5246,5,1,64.63,7,27,none,none,high,REAL,CCOCCOc1c(Cl)cccc1NC(=O)[C@]12[C@@H]3C(=O)[C@H]4[C@@H]5C[C@H]([C@H]41)[C@@H]2[C@@H]53
Z510365356_1_T1,Z510365356,-9.9,0.283,470.484,2.3847,9,2,108.05,3,35,none,none,none,REAL,CC(=O)N1C[C@H](C(=O)Nc2ccc(C(=O)N3CC(=O)Nc4ccccc43)cc2)Oc2ccccc21
Z1161529919_1_T4,Z1161529919,-9.8,0.288,455.513,3.3572,7,2,89.95,5,34,none,none,none,REAL,O=C(Cc1ccc(N[C@@H]2CC(=O)N(c3cccc(O)c3)C2=O)cc1)N1CCCc2ccccc21
Z1165732852_1_T5,Z1165732852,-9.8,0.306,438.458,2.1416,8,4,116.4,5,32,none,none,none,REAL,O=C(Cc1ccc(NC(=O)C2CCC3(CC2)NC(=O)NC3=O)cc1)Nc1ccccc1F
Z1559283665_1_T2,Z1559283665,-9.8,0.297,437.502,4.0944,7,2,90.98,5,33,none,none,low,REAL,O=C(Nc1ccc(CC(=O)N2CCCc3ccccc32)cc1)c1cccc(-c2ncn[nH]2)c1
Z998874814_1_T2,Z998874814,-9.8,0.265,499.569,2.7466,9,1,106.68,4,37,none,none,none,REAL,O=C(c1ccc2[nH]ncc2c1)N1CCC[C@H](C(=O)N2CCC(CN3C(=O)c4ccccc4C3=O)CC2)C1
Z1075646216_2_T1,Z1075646216,-9.7,0.285,453.584,4.4533,5,1,52.65,3,34,none,none,none,REAL,Cc1ccc(C(=O)N2CCC(NC(=O)N3Cc4ccccc4[C@@H](c4ccccc4)C3)CC2)cc1
Z1094946006_1_T1,Z1094946006,-9.7,0.269,477.479,4.1806,9,2,123.15,6,36,low,none,none,REAL,O=C(Cc1noc2ccccc12)Nc1ccc2nc(NC(=O)Cc3noc4ccccc34)ccc2c1
Z1684170407_1_T1,Z1684170407,-9.7,0.294,440.458,3.3185,8,2,120.34,6,33,none,none,none,REAL,NC(=O)c1cccc(Cc2noc(-c3cccc(NC(=O)[C@@H]4Cc5ccccc5O4)c3)n2)c1
Z1684693872_1_T1,Z1684693872,-9.7,0.303,423.471,4.9745,6,1,77.25,4,32,none,none,none,REAL,O=C(Nc1cccc(-c2nc(C3Cc4ccccc4C3)no2)c1)[C@@H]1Cc2ccccc2O1
Z1728627932_2_T1,Z1728627932,-9.7,0.285,448.477,3.639,6,2,92.34,2,34,none,none,none,REAL,O=C1C/C(=C/c2ccc(/C=C3\CC(=O)Nc4ccccc4C3=O)cc2)C(=O)c2ccccc2N1
Z1827808809_1_T2,Z1827808809,-9.7,0.294,442.478,2.6842,9,3,120.08,5,33,none,low,high,REAL,Cc1n[nH]c(-c2ccc(NC(=O)c3cccc(NN4C(=O)[C@@H]5CC=CC[C@@H]5C4=O)c3)cc2)n1
Z1869819485_1_T2,Z1869819485,-9.7,0.303,442.542,4.431,6,2,106.33,5,32,none,none,none,REAL,O=C(Nc1ccc(CC(=O)N2CCCc3ccccc32)cc1)c1ccc(-c2cc[nH]n2)s1
Z2067513613_6_T1,Z2067513613,-9.7,0.303,438.545,1.9971,6,2,64.68,7,32,none,none,none,REAL,CN(C)C(=O)CN1[C@H]2CC[C@H]1CC(N[C@@H](C(=O)Nc1ccc(F)cc1)c1ccccc1)C2
Z2811870539_11_T1,Z2811870539,-9.7,0.373,352.437,1.8994,6,2,73.8,4,26,none,none,none,REAL,C[C@H](Cn1ncc2ccccc2c1=O)NC(=O)N[C@H]1C[C@@H]2C[C@H]1[C@@H]1C[C@@H]21
