Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z2998241729_1_T1,Z2998241729,-9.9,0.367,362.384,1.9247,6,2,84.5,1,27,high,low,none,REAL,O=C1C[C@]2(CCc3cc(-c4ccc5c(c4)C(=O)NCCO5)ccc32)C(=O)N1
Z1576646261_1_T1,Z1576646261,-9.8,0.338,406.496,3.0397,6,2,78.87,7,29,none,high,none,REAL,CC(C)(C)OC(=O)N1[C@@H]2CC[C@@H]1CC(CC(=O)N[C@H](CO)c1ccc(F)cc1)C2
Z2830825486_2_T2,Z2830825486,-9.8,0.288,469.422,4.7594,8,2,99.83,3,34,low,none,low,REAL,NC1=Nc2nc3cc4c(cc3n2[C@@H](c2ccc(-c3cccc(C(F)(F)F)c3)o2)N1)OCCCO4
Z997212184_1_T2,Z997212184,-9.8,0.288,475.524,3.1384,8,1,112.24,3,34,none,high,none,REAL,CS(=O)(=O)c1ccc2c(c1)N(C(=O)c1ccc3c(=O)n(-c4ccccc4)c(=O)[nH]c3c1)CCC2
Z1730125512_1_T1,Z1730125512,-9.6,0.291,446.505,2.6627,8,1,91.31,3,33,none,high,none,REAL,COc1ccc(C(=O)N2CCC[C@H](C(=O)N3CCc4n[nH]c(=O)cc4C3)C2)c2ccccc12
Z98336011_2_T2,Z98336011,-9.5,0.271,488.934,4.7257,9,3,115.79,3,35,low,none,low,REAL,NC1=Nc2nc3cc4c(cc3n2[C@@H](c2cccc(NC(=O)c3ccc(Cl)cc3)c2)N1)OCCCO4
Z2830825486_2_T1,Z2830825486,-9.5,0.279,469.422,4.7594,8,2,99.83,3,34,low,none,low,REAL,NC1=Nc2nc3cc4c(cc3n2[C@@H](c2ccc(-c3cccc(C(F)(F)F)c3)o2)N1)OCCCO4
Z1507824335_2,Z1507824335,-9.5,0.297,432.483,1.8318,9,3,124.42,3,32,none,none,none,REAL,NC(=O)N1CCc2cc(NC(=O)[C@H]3CCCN(C(=O)c4ccc5[nH]ncc5c4)C3)ccc21
Z2160281895_1_T1,Z2160281895,-9.5,0.279,448.437,3.0164,8,1,105.4,4,34,none,none,none,REAL,O=C1c2ccc(-c3nc(-c4cc(=O)[nH]c5ccccc45)no3)cc2C(=O)N1Cc1ccccc1
Z2638095677_8_T1,Z2638095677,-9.5,0.339,386.45,1.7868,8,3,111.63,2,28,none,none,none,REAL,C[C@H]1CC[C@@H](O)[C@@H]([C@@H]2CCCCN2C(=O)c2cnc3[nH]c(=O)[nH]c(=O)c3c2)C1
Z2830825680_2_T2,Z2830825680,-9.5,0.271,477.47,4.5219,8,2,95.92,4,35,low,none,low,REAL,NC1=Nc2nc3cc4c(cc3n2[C@@H](c2cccc(OCc3ccc(F)cc3F)c2)N1)OCCCO4
Z1070824292_1_T2,Z1070824292,-9.4,0.276,483.544,1.3276,9,2,130.26,3,34,none,none,none,REAL,C[C@@H]1Oc2ccc(C(=O)C3CCN(S(=O)(=O)c4ccc5c(c4)CCC(=O)N5)CC3)cc2NC1=O
Z1213022201_2_T1,Z1213022201,-9.4,0.294,433.442,4.3558,8,2,99.83,2,32,low,none,low,REAL,Cc1cc(F)ccc1-c1ccc([C@H]2NC(N)=Nc3nc4cc5c(cc4n32)OCCCO5)o1
Z1837791861_2_T2,Z1837791861,-9.4,0.294,437.405,4.1127,8,2,99.83,2,32,low,none,low,REAL,NC1=Nc2nc3cc4c(cc3n2[C@@H](c2ccc(-c3cccc(F)c3F)o2)N1)OCCCO4
Z2077357332_1_T2,Z2077357332,-9.4,0.294,430.467,2.2939,9,4,119.22,4,32,none,none,none,REAL,O=C(NNc1ccc2c(=O)[nH]ccc2c1)[C@@H]1CCCN(C(=O)c2ccc3[nH]ncc3c2)C1
Z2160279884_1_T1,Z2160279884,-9.4,0.285,438.398,2.2051,9,1,118.54,4,33,none,none,none,REAL,O=C1c2ccc(-c3nc(-c4cc(=O)[nH]c5ccccc45)no3)cc2C(=O)N1Cc1ccco1
Z2160283311_1_T5,Z2160283311,-9.4,0.313,396.365,-0.3461,9,2,112.72,2,30,none,none,none,REAL,O=c1cc(-c2noc(-c3c[nH]n4c3nc(=O)c3ccccc34)n2)c2ccccc2[nH]1
Z2466019156_1_T1,Z2466019156,-9.4,0.324,394.39,0.5602,10,3,123.56,2,29,none,none,none,REAL,Cn1c(N2CCc3[nH]c4ccc(C(=O)O)cc4c3C2)nc2c1c(=O)[nH]c(=O)n2C
Z98335822_2_T2,Z98335822,-9.4,0.294,470.315,5.1231,8,2,99.83,2,32,low,high,high,REAL,NC1=Nc2nc3cc4c(cc3n2[C@@H](c2ccc(-c3cc(Cl)ccc3Cl)o2)N1)OCCCO4
ZINC000012548283_T2,ZINC000012548283,-9.4,0.294,470.315,5.1231,8,2,99.83,2,32,low,none,low,ZINC,NC1=Nc2nc3cc4c(cc3n2[C@@H](c2ccc(-c3cccc(Cl)c3Cl)o2)N1)OCCCO4
Z2830825486_2_T3,Z2830825486,-9.4,0.276,469.422,4.7594,8,2,99.83,3,34,low,none,low,REAL,NC1=Nc2nc3cc4c(cc3n2[C@@H](c2ccc(-c3cccc(C(F)(F)F)c3)o2)N1)OCCCO4
Z98336011_2_T3,Z98336011,-9.3,0.266,488.934,4.7257,9,3,115.79,3,35,low,none,low,REAL,NC1=Nc2nc3cc4c(cc3n2[C@@H](c2cccc(NC(=O)c3ccc(Cl)cc3)c2)N1)OCCCO4
Z2160283311_1_T1,Z2160283311,-9.3,0.31,396.365,-0.3461,9,2,112.72,2,30,none,none,none,REAL,O=c1cc(-c2noc(-c3c[nH]n4c3nc(=O)c3ccccc34)n2)c2ccccc2[nH]1
PV-001811066172_1_T1,PV-001811066172,-9.3,0.31,419.358,3.3068,7,1,78.95,3,30,none,high,none,REAL,CCn1c(=O)[nH]c2cc(C(=O)N3CCOc4c3cccc4C(F)(F)F)ccc2c1=O
PV-001872965615_1_T1,PV-001872965615,-9.3,0.321,404.307,1.4886,9,4,132.36,3,29,none,none,none,REAL,Cc1cc(C(=O)Nc2cc(C(F)(F)F)c3cn[nH]c3c2)nc2nc(O)[nH]c(=O)c12
PV-001875532042_2_T1,PV-001875532042,-9.3,0.3,454.316,4.0103,4,1,53.43,1,31,none,none,none,REAL,Cc1nc2ccc(O)cc2cc1C(=O)N1C[C@H]2[C@H](C1)C(F)(F)C(F)(F)C(F)(F)C2(F)F
PV-001950483714_1_T4,PV-001950483714,-9.3,0.31,414.46,1.2125,9,3,116.84,1,30,none,none,none,REAL,CC1(C)COc2ccc(NC(=O)N3CC(=O)NC(=O)C34CCCCC4)cc2NC1=O
Z1213022199_2_T1,Z1213022199,-9.3,0.291,433.442,4.3558,8,2,99.83,2,32,low,none,low,REAL,Cc1c(F)cccc1-c1ccc([C@H]2NC(N)=Nc3nc4cc5c(cc4n32)OCCCO5)o1
Z1264834677_1,Z1264834677,-9.3,0.291,446.482,2.9924,7,1,109,1,32,low,low,low,REAL,C[C@@H]1CN(C(=O)c2ccc3c(c2)S(=O)(=O)c2ccccc2C3=O)c2ccccc2NC1=O
Z1356719911_2_T6,Z1356719911,-9.3,0.372,340.342,-0.3405,9,3,120.08,2,25,none,none,none,REAL,C[C@@]1(c2ccc(C(=O)N3CCc4nn[nH]c4C3)cc2)NC(=O)NC1=O
Z1748294130_1_T1,Z1748294130,-9.3,0.332,373.415,1.7029,7,2,90.98,2,28,none,none,none,REAL,Cc1nnc(-c2ccc(C(=O)N3CC[C@]4(C3)C(=O)Nc3ccccc34)cc2)[nH]1
Z2157917520_1_T1,Z2157917520,-9.3,0.291,437.43,2.1355,9,2,109.59,4,32,none,none,none,REAL,C[C@]1(c2cccc(-c3noc(-c4cc(F)ccc4N4CCOCC4)n3)c2)NC(=O)NC1=O
