Compound_screening_ID,Compound_source_ID,docking_score,LE,MW,cLogP,h_acc,h_donors,TPSA,Rotatable_Bonds,Heavy_atoms,Mutagenic,Tumorigenic,Reproductive,Database,SMILES
Z1907681358_483,Z1907681358,-12.2,0.421,414.524,1.7816,6,3,103.88,6,29,none,none,none,REAL,C=CCNS(=O)(=O)c1ccc(C(=O)NC[C@]2(O)[C@H]3[C@@H]4C[C@@H]5[C@@H]6[C@H]4C[C@H]3[C@H]6[C@H]52)cc1
Z1902654279_40_T1,Z1902654279,-12.2,0.407,432.946,2.8247,6,3,79.82,8,30,none,none,high,REAL,CCOCCOc1c(Cl)cccc1NC(=O)NC[C@@]1(O)[C@H]2[C@H]3C[C@@H]4[C@@H]5[C@H]3C[C@@H]2[C@@H]5[C@@H]41
Z2641366477_1_T2,Z2641366477,-12,0.414,391.426,3.6279,7,1,88.69,2,29,none,none,none,REAL,O=C(c1cccc(-c2noc(O)n2)c1)N1CCC2(CC1)OCCc1ccccc12
Z1030834984_1_T3,Z1030834984,-11.9,0.34,484.539,4.0057,9,3,137.58,5,35,none,none,low,REAL,O=C(Nc1cccc(-c2nc(C3CC3)n[nH]2)c1)c1ccc(NC2=NS(=O)(=O)c3ccccc32)cc1
Z2910813077_1_T2,Z2910813077,-11.8,0.407,390.446,3.1978,8,2,96.03,3,29,none,none,none,REAL,O=C(c1cccc(Nc2nnn[nH]2)c1)N1CCC2(CC1)OCCc1ccccc12
ZINC000002027565_T1,ZINC000002027565,-11.8,0.295,528.563,5.8236,7,0,91.83,4,40,none,none,low,ZINC15,Cc1ccc(C)c(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4cc(C)ccc4C)C5=O)cc3C2=O)c1
Z2158539625_1_T6,Z2158539625,-11.7,0.418,370.371,2.1034,8,2,109.59,3,28,none,none,none,REAL,Cc1nnc(-c2cccc(-c3noc(-c4c[nH]c(=O)c5ccccc45)n3)c2)[nH]1
ZINC000109965938_T2,ZINC000109965938,-11.7,0.334,475.571,4.0675,5,2,83.23,3,35,none,low,none,ZINC15,O=S1(=O)c2ccccc2-c2cc(-c3nc(C4=CN[C@H]5C=CC=C[C@H]45)[nH]c3-c3ccccc3)ccc21
Z2021034781_1_T1,Z2021034781,-11.6,0.4,390.442,3.1996,7,4,117.08,3,29,low,low,low,REAL,C[C@@H]1CCc2[nH]c3ccc(C(=O)Nc4cccc(C(=O)NC(N)=O)c4)cc3c2C1
Z2158539899_1_T3,Z2158539899,-11.6,0.4,384.398,2.3563,8,1,100.8,3,29,none,none,low,REAL,Cc1nnc(-c2cccc(-c3noc(-c4cn(C)c(=O)c5ccccc45)n3)c2)[nH]1
